pue_source,pue_reconstructed,delta,it_power_kw
1.03,1.0295985217537376,-0.00040147824626246553,1190.6
1.037,1.0367768595041322,-0.0002231404958676908,968.0
1.028,1.0277078915130997,-0.000292108486900311,1518.34
1.0191700687173302,1.0191700687173302,0.0,3402.779664583504
1.033,1.0327856685623102,-0.00021433143768967433,1077.91
1.028,1.0284360544319526,0.00043605443195260385,1335.98
1.032,1.032181046963501,0.00018104696350107474,1181.13
1.033,1.0333573551932258,0.0003573551932258834,1110.1
1.0683035051260572,1.0683035051260572,0.0,2370.76821196771
1.053,1.0528949552082099,-0.00010504479179007653,1181.02
1.06,1.06049666338475,0.0004966633847498514,1828.2
1.039,1.0394291316696485,0.00042913166964853033,989.37
1.0639122345239433,1.0639122345239433,0.0,2699.598545254592
1.015,1.0145499085991074,-0.0004500914008924717,1077.67
1.0966260918826487,1.0966260918826487,0.0,1155.7255651014448
1.015,1.0151567476305592,0.0001567476305592841,781.83
1.006,1.0061707144049408,0.00017071440494076384,1917.12
1.046,1.046067564291853,6.756429185306168e-05,907.58
1.037,1.0370450841933732,4.508419337323488e-05,920.5
1.035,1.0353396411916982,0.00033964119169827,1108.67
1.08919635315367,1.08919635315367,0.0,2454.302658207357
1.024,1.0236610323879205,-0.00033896761207952153,1361.31
1.039,1.0391559968643846,0.00015599686438472204,765.4
1.1107774648450703,1.1107774648450703,0.0,2109.890044315219
1.027,1.0269132376124532,-8.676238754667942e-05,1059.33
1.053,1.0530755006628985,7.550066289851998e-05,1146.48
1.1070307526914278,1.1070307526914278,0.0,2413.1561587208507
1.031,1.0308119875065607,-0.00018801249343924908,1162.21
1.0546557746572764,1.0546557746572764,0.0,2668.9514860792756
1.042,1.0417414061810804,-0.00025859381891968347,680.14
1.032,1.0315295213333593,-0.000470478666640739,1030.78
1.038,1.0375353805453227,-0.0004646194546773508,1406.14
1.0642425493827734,1.0642425493827734,0.0,2539.764517295599
1.0159318528496333,1.0159318528496335,2.220446049250313e-16,3520.7712831273675
1.011,1.0107785593014793,-0.0002214406985205919,1030.75
1.035,1.0351878605417093,0.0001878605417093837,989.83
1.032,1.0321779984043968,0.00017799840439680636,1240.91
1.039,1.039256054762153,0.00025605476215306844,1151.16
1.024,1.024014181318284,1.4181318283901234e-05,1382.1
1.041,1.0410390598981873,3.905989818742128e-05,1050.95
1.04,1.0396084178664138,-0.0003915821335862546,1043.97
1.059,1.059217931249899,0.00021793124989910595,1856.87
1.0214991757998901,1.0214991757998901,0.0,3221.4876814186573
1.03,1.0295409031505909,-0.0004590968494091463,1063.61
1.022,1.0218500722316437,-0.00014992776835631716,1273.68
1.035,1.034807184838671,-0.00019281516132885201,1333.92
1.034,1.0338142222571642,-0.00018577774283579096,1271.95
1.0660555594593653,1.0660555594593655,2.220446049250313e-16,2584.5586460407376
1.027,1.0273365349094938,0.00033653490949392406,1136.94
1.051,1.0509848888160858,-1.5111183914173765e-05,732.57
1.011,1.010935809079,-6.419092099996249e-05,1228.99
1.026,1.026043758043758,4.3758043758002074e-05,1942.5
1.053,1.0532940428981443,0.00029404289814438656,912.86
1.036,1.0359735190383057,-2.6480961694330674e-05,1222.01
1.01,1.009754879331613,-0.000245120668387111,1321.39
1.031,1.0314837973628206,0.00048379736282067043,1367.37
1.031,1.030968413274116,-3.158672588399192e-05,1326.19
1.029,1.0289551396187084,-4.486038129147829e-05,921.08
1.024,1.023590368181455,-0.0004096318185449199,1001.68
1.034,1.0339462399679642,-5.376003203583224e-05,1198.66
1.046,1.045737111259997,-0.000262888740003131,1179.13
1.026,1.025648521294885,-0.0003514787051150936,1436.73
1.034,1.0335445138090424,-0.000455486190957588,1295.89
1.01,1.0099032566287125,-9.674337128751098e-05,1004.72
1.0208417733200994,1.0208417733200994,0.0,3416.451129488647
1.023,1.0228763788719266,-0.0001236211280732924,1105.07
1.008,1.0084832396247259,0.0004832396247258508,1212.98
1.035,1.034761299691414,-0.0002387003085859707,991.62
1.023,1.0227099559769726,-0.0002900440230273471,1417.44
1.026,1.0257084224774047,-0.0002915775225953432,1145.15
1.04,1.0399350855979126,-6.491440208744592e-05,1885.56
1.037,1.0371960717913986,0.0001960717913986887,738.25
1.051,1.0513795964481791,0.000379596448179198,1132.94
1.031,1.03057772293976,-0.0004222770602400061,1004.98
1.034,1.0344051148042184,0.0004051148042183428,968.17
1.046,1.046180394580951,0.00018039458095087113,1164.78
1.0641714016736097,1.0641714016736095,-2.220446049250313e-16,2755.775739893496
1.04,1.0399966247574044,-3.3752425956379284e-06,829.57
1.033,1.0334420817403898,0.0004420817403898436,1284.31
1.061355777906543,1.061355777906543,0.0,2534.4092855471968
1.029,1.0294946017837585,0.000494601783758597,1406.02
1.0967468711339097,1.09674687113391,2.220446049250313e-16,1144.3429405524134
1.015,1.0145420058484154,-0.0004579941515845398,759.18
1.065181325502348,1.065181325502348,0.0,2438.2858574755005
1.041,1.041369598722654,0.00036959872265418525,901.87
1.10173569937349,1.10173569937349,0.0,2600.3801724921464
1.024,1.0244592165612991,0.0004592165612991028,1290.72
1.033,1.0328570351379882,-0.00014296486201170744,1060.96
1.032,1.0321742999482117,0.00017429994821172023,1370.97
1.091,1.0914764621968618,0.00047646219686181546,112.16
1.035,1.035394523760773,0.0003945237607729801,1074.46
1.033,1.0325002448888205,-0.0004997551111793896,1429.22
1.029,1.0292406123060702,0.00024061230607030915,967.49
1.029,1.029421675582326,0.0004216755823260865,949.64
1.01,1.0102913412060859,0.0002913412060858711,1080.52
1.0607816615455707,1.0607816615455707,0.0,2712.1112308582665
1.0189969682309452,1.0189969682309452,0.0,3089.4250749126077
1.022,1.0218688354946157,-0.0001311645053843069,1236.92
1.034,1.0338130602719158,-0.00018693972808425663,1105.49
1.0877099340959868,1.0877099340959868,0.0,2720.898060366988
1.043,1.042799623786023,-0.00020037621397683836,946.27
1.051,1.0509754267492029,-2.4573250797077506e-05,852.96
1.054,1.0543660316640948,0.00036603166409476806,1820.99
1.033,1.0331510074084331,0.00015100740843321248,1444.3
1.0846768672668121,1.0846768672668121,0.0,2675.0945218059423
1.029,1.0293176583393262,0.00031765833932628773,959.49
1.032,1.0321220161185196,0.0001220161185195856,1304.09
1.035,1.0345031254614363,-0.0004968745385636186,812.68
1.046,1.0459277297038743,-7.227029612577596e-05,1149.85
1.0187854671358492,1.0187854671358492,0.0,3414.6614260971546
1.028,1.0279094214762095,-9.05785237905743e-05,1160.54
1.029,1.0293400123605374,0.0003400123605374894,922.29
1.0679883842213271,1.0679883842213271,0.0,3362.174851824403
1.039,1.039436748817012,0.0004367488170120559,872.79
1.027,1.0273725270587326,0.00037252705873269676,1035.71
1.03,1.030484924594168,0.0004849245941680458,867.97
1.009,1.009127934834691,0.00012793483469120126,1252.2
1.023395780458175,1.023395780458175,0.0,2647.681282132864
1.043,1.0433727523467926,0.0003727523467926819,844.77
1.032,1.0324629075025957,0.0004629075025956997,1165.33
1.051,1.0511598212385613,0.0001598212385613973,1174.75
1.021,1.0211754447881416,0.00017544478814168762,1445.07
1.044,1.0441927996752673,0.0001927996752673078,960.79
1.02,1.0198384175268105,-0.00016158247318953656,1391.24
1.037,1.037361640578076,0.0003616405780759724,815.81
1.036,1.035693215339233,-0.00030678466076694555,1356.0
1.041,1.040501242531592,-0.0004987574684078844,756.52
1.028,1.0282091351520293,0.00020913515202924948,1119.85
1.023,1.0227157145278862,-0.0002842854721136767,1238.79
1.023,1.0228262636112464,-0.00017373638875350927,1230.6
1.027,1.0274771807659735,0.00047718076597358383,1381.51
1.036,1.0363404368143703,0.00034043681437023743,1206.92
