profile_id,source_path,slurm_job_id,mode,offline_online,workload_family,model,dataset,workload_config,repeat,nodes,gpus,gpus_per_node,cpu_sockets,hardware_class,duration_s,energy_compute_Wh,mean_compute_W,median_compute_W,p95_compute_W,p99_compute_W,max_compute_W,p_compute_W_per_node,gpu_W_per_device,cpu_W_per_socket,compute_Wh_per_node_hour,cv,peak_to_mean,batch_like,experimental_unit,aggregation_source,family,n_nodes_from_logs,n_gpu_logs,n_cpu_logs,n_gpu_device_columns,expected_devices,double_count_gpu,E_GPU_Wh,E_CPU_Wh,E_CPU_package_only_Wh,E_compute_native_Wh,gpu_energy_share,cpu_energy_share,core_fraction_of_cpu_energy,mean_GPU_W_all_devices,time_monotonic,mean_GPU_W,mean_CPU_W,energy_gpu_Wh,energy_cpu_Wh,batch_size,max_output_tokens,seed,request_rate,num_prompts,hf_output_len,completed_requests,total_input_tokens,total_output_tokens,energy_J_per_request,energy_J_per_token
train_000010,01_aggregated_datasets/training/results/000010.parquet,10742766,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=8_repeat=0,0,8,32,4,16,Kestrel_H100_4x_SXM80_2x_EPYC9554,2078.2,11297.810552881927,19569.32851021271,19543.044433972194,24109.280100118463,24141.699927622867,24240.05780417469,2446.3548978909,546.1126669406791,130.97479416661932,2446.3548978909,0.2965239081731079,1.2386760123897176,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,8.0,8.0,8.0,32.0,32.0,False,10088.27861720995,1209.7414099425257,1204.2121715622477,11298.020027152475,0.8929244764095691,0.10707552359043089,0.0045705952816317,17473.883639682466,True,17475.60534210173,2095.596706665909,10088.27861720995,1209.7414099425257,,,,,,,,,,,
train_000011,01_aggregated_datasets/training/results/000011.parquet,10742817,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=8_repeat=1,1,8,32,4,16,Kestrel_H100_4x_SXM80_2x_EPYC9554,2545.8,13980.089208869578,19767.875671494607,19777.157628245586,24096.950482382512,24128.911075238015,24250.8863812531,2471.144686931931,551.7725172878634,132.09419006950853,2471.144686931931,0.2841730468598938,1.2267826237000783,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,8.0,8.0,8.0,32.0,32.0,False,12486.24421787949,1494.6017292397992,1487.7988399526696,13980.84594711929,0.8930964739263323,0.10690352607366777,0.004551640182157203,17651.1516782981,True,17656.720553211628,2113.5070411121364,12486.24421787949,1494.6017292397992,,,,,,,,,,,
train_000012,01_aggregated_datasets/training/results/000012.parquet,10742818,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=8_repeat=2,2,8,32,4,16,Kestrel_H100_4x_SXM80_2x_EPYC9554,2301.4,12609.051176538003,19722.51632997503,19926.05947293637,24075.10267763528,24112.30445833281,24201.477084794304,2465.4875421230995,551.9009155416328,129.01623930240794,2465.4875421230995,0.29098647814375334,1.22709884884273,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,8.0,8.0,8.0,32.0,32.0,False,11290.175706911234,1319.6354361358294,1314.4017642799488,12609.811143047065,0.8953485170264849,0.104651482973515,0.0039659982693447645,17654.804806153796,True,17660.82929733225,2064.259828838527,11290.175706911234,1319.6354361358294,,,,,,,,,,,
train_000013,01_aggregated_datasets/training/results/000013.parquet,10742819,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=8_repeat=3,3,8,32,4,16,Kestrel_H100_4x_SXM80_2x_EPYC9554,2312.0,12706.927284867226,19784.44160555844,19998.635917341537,24042.60193387266,24084.347308155327,24206.73255105551,2473.2341168642956,553.2488256894325,130.14469100669714,2473.2341168642956,0.2868722220656691,1.2235236674182721,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,8.0,8.0,8.0,32.0,32.0,False,11369.87808883527,1337.309002699928,1332.8164247565978,12707.1870915352,0.8947596353884828,0.10524036461151712,0.0033594165105148366,17701.77023257758,True,17703.96242206184,2082.3150561071543,11369.87808883527,1337.309002699928,,,,,,,,,,,
train_000014,01_aggregated_datasets/training/results/000014.parquet,10742820,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=8_repeat=4,4,8,32,4,16,Kestrel_H100_4x_SXM80_2x_EPYC9554,2539.6,14052.90611377081,19919.34142708984,20045.869420166335,24080.845769966912,24112.930176788574,24201.081089638734,2490.080229641229,556.8531233462573,131.38420092392235,2490.080229641229,0.27624926385795207,1.2149538767745518,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,8.0,8.0,8.0,32.0,32.0,False,12570.526151556936,1482.9480740728586,1475.787384351211,14053.474225629794,0.8944781873674799,0.10552181263252017,0.004828685404999446,17815.093171783523,True,17819.299947080235,2102.1472147827576,12570.526151556936,1482.9480740728586,,,,,,,,,,,
train_000015,01_aggregated_datasets/training/results/000015.parquet,10742821,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=8_repeat=5,5,8,32,4,16,Kestrel_H100_4x_SXM80_2x_EPYC9554,2301.4,12653.53528445144,19792.07027092555,20012.220700371792,24097.04662073862,24130.285617352056,24242.94700875915,2474.1856600343913,553.1564626579765,130.84504616387474,2474.1856600343913,0.28874985523526137,1.2248818176626988,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,8.0,8.0,8.0,32.0,32.0,False,11315.860294765042,1338.3412855179615,1334.5930444110888,12654.201580283003,0.8942373979877734,0.10576260201222672,0.0028006616454502265,17695.73421403026,True,17701.006805055247,2093.520738621996,11315.860294765042,1338.3412855179615,,,,,,,,,,,
train_000016,01_aggregated_datasets/training/results/000016.parquet,10742842,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=16_repeat=0,0,16,64,4,32,Kestrel_H100_4x_SXM80_2x_EPYC9554,2074.6,22037.997676729305,38238.90882102735,39028.98839773295,48121.59665242855,48184.418536623365,48432.24630828354,2390.1231453119126,533.3317850881037,128.43472162040425,2390.1231453119126,0.33177414832613705,1.266569779356542,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,16.0,16.0,16.0,64.0,64.0,False,19670.22437944498,2368.4504308772503,2360.4401710666425,22038.67481032223,0.8925320850159311,0.1074679149840689,0.0033820677461425894,34127.559991821254,True,34133.23424563864,4109.911091852936,19670.22437944498,2368.4504308772503,,,,,,,,,,,
train_000017,01_aggregated_datasets/training/results/000017.parquet,10742843,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=16_repeat=1,1,16,64,4,32,Kestrel_H100_4x_SXM80_2x_EPYC9554,2055.6,22017.920993984724,38557.214050993425,38896.703475269496,48098.21375852443,48158.4818631942,48294.90939056734,2410.0176219335294,538.6596729171777,127.71331041977211,2410.0176219335294,0.3126261252628208,1.2525518396296846,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,16.0,16.0,16.0,64.0,64.0,False,19684.77908708534,2333.577607990076,2330.4723298037675,22018.356695075418,0.8940167224871963,0.10598327751280365,0.0013306941991885275,34470.35717324918,True,34474.21906669937,4086.8259334327076,19684.77908708534,2333.577607990076,,,,,,,,,,,
train_000018,01_aggregated_datasets/training/results/000018.parquet,10742844,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=16_repeat=2,2,16,64,4,32,Kestrel_H100_4x_SXM80_2x_EPYC9554,2070.2,22099.07765453385,38426.4025575242,38686.99847566479,48101.73942109847,48165.47061532176,48442.90779082895,2401.8415961115434,536.4674278377219,128.0179234057791,2401.8415961115434,0.31518463567278177,1.2606672643453958,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,16.0,16.0,16.0,64.0,64.0,False,19743.90878417159,2355.7573780857233,2344.696619737779,22099.666162257312,0.8934030332951826,0.10659696670481746,0.004695202676997354,34328.4624300553,True,34333.9153816142,4096.573548984931,19743.90878417159,2355.7573780857233,,,,,,,,,,,
train_000019,01_aggregated_datasets/training/results/000019.parquet,10742845,training_finetune,batch,llama2_70b_lora,llama2_70b_lora,mlperf_training_v4.0,nodes=16_repeat=3,3,16,64,4,32,Kestrel_H100_4x_SXM80_2x_EPYC9554,2091.8,22170.028819798412,38151.749734326266,38310.04663202122,48085.06665696947,48149.35872578207,48333.82752772448,2384.671806317355,532.4749906325453,127.40938001108432,2384.671806317355,0.3243457990721889,1.266883638740089,True,independent_run,source_aggregated_parquet,training_llama2_70b_lora,16.0,16.0,16.0,64.0,64.0,False,19801.443296091704,2369.021698730544,2363.4230704940833,22170.464994822247,0.8931451505738012,0.10685484942619886,0.0023632659166695526,34074.465693761864,True,34078.3994004829,4077.1001603546983,19801.443296091704,2369.021698730544,,,,,,,,,,,
