case_id,weather,it_level,return_air_label,p_it_mw,t_db_C,rh_pct,ocp_region,v1_mode,v1_feasibility,v1_objective,v1_Tmix,v1_Tsup,v1_W_air,v1_h_residual,v1_boundary,v1_model_version,v0_W,v0_Tsup,canonical_W,canonical_Tsup,canonical_model_version
hot_dry_high_return_dry,hot_dry,high,synthetic_return_dry_35C_15pct,30.0,35.0,12.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,FEASIBLE,COOLING,35.0,26.666666666666668,29.660204200973613,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,29.660204200973613,26.666666666666668,35.635556507165454,25.0,canonical_legacy
hot_dry_low_return_moist,hot_dry,low,synthetic_return_moist_35C_40pct,2.0,35.0,12.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,FEASIBLE,COOLING,35.0,26.666666666666668,1.9773469467315747,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,1.9773469467315747,26.666666666666668,2.3757037671443637,25.0,canonical_legacy
hot_dry_medium_return_moist,hot_dry,medium,synthetic_return_moist_35C_40pct,10.0,35.0,12.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,FEASIBLE,COOLING,35.0,26.666666666666668,9.886734733657871,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,9.886734733657871,26.666666666666668,11.878518835721819,25.0,canonical_legacy
hot_dry_high_return_moist,hot_dry,high,synthetic_return_moist_35C_40pct,30.0,35.0,12.0,B,B_100PCT_OA_HUMIDIFICATION_OR_COOLING,FEASIBLE,COOLING,35.0,26.666666666666668,29.660204200973613,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,29.660204200973613,26.666666666666668,35.635556507165454,25.0,canonical_legacy
hot_humid_low_return_dry,hot_humid,low,synthetic_return_dry_35C_15pct,2.0,32.0,75.0,E,E_EVAPORATIVE_COOLING_HIGH_WB,PARTIALLY_FEASIBLE,COOLING,31.999999999999986,28.652865934844844,0.8235260535973434,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.8235260535973434,28.652865934844844,1.04635435944591,27.75,canonical_legacy
hot_humid_medium_return_dry,hot_humid,medium,synthetic_return_dry_35C_15pct,10.0,32.0,75.0,E,E_EVAPORATIVE_COOLING_HIGH_WB,PARTIALLY_FEASIBLE,COOLING,31.999999999999986,28.652865934844844,4.1176302679867165,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,4.1176302679867165,28.652865934844844,5.231771797229548,27.75,canonical_legacy
hot_humid_high_return_dry,hot_humid,high,synthetic_return_dry_35C_15pct,30.0,32.0,75.0,E,E_EVAPORATIVE_COOLING_HIGH_WB,PARTIALLY_FEASIBLE,COOLING,31.999999999999986,28.652865934844844,12.352890803960152,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,12.352890803960152,28.652865934844844,15.695315391688645,27.75,canonical_legacy
hot_humid_low_return_moist,hot_humid,low,synthetic_return_moist_35C_40pct,2.0,32.0,75.0,E,E_EVAPORATIVE_COOLING_HIGH_WB,PARTIALLY_FEASIBLE,COOLING,31.999999999999986,28.652865934844844,0.8235260535973434,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,0.8235260535973434,28.652865934844844,1.04635435944591,27.75,canonical_legacy
hot_humid_medium_return_moist,hot_humid,medium,synthetic_return_moist_35C_40pct,10.0,32.0,75.0,E,E_EVAPORATIVE_COOLING_HIGH_WB,PARTIALLY_FEASIBLE,COOLING,31.999999999999986,28.652865934844844,4.1176302679867165,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,4.1176302679867165,28.652865934844844,5.231771797229548,27.75,canonical_legacy
hot_humid_high_return_moist,hot_humid,high,synthetic_return_moist_35C_40pct,30.0,32.0,75.0,E,E_EVAPORATIVE_COOLING_HIGH_WB,PARTIALLY_FEASIBLE,COOLING,31.999999999999986,28.652865934844844,12.352890803960152,0.0,AIR_STREAM_EVAPORATED_WATER,structural_reference_v1,12.352890803960152,28.652865934844844,15.695315391688645,27.75,canonical_legacy
