job_id,arrival_time,deadline_class,maximum_delay_hours,deadline_time,it_energy_mwh
82,11,short_4h,4,15,0.2284680259918321
83,11,flexible_12h,12,23,0.06825138188746023
84,11,short_4h,4,15,0.1812375601912582
85,11,flexible_12h,12,23,0.3914967095771494
86,11,flexible_12h,12,23,0.4224268166318452
87,11,urgent_0h,0,11,0.2476869978238857
88,11,flexible_12h,12,23,0.2629269508329984
89,11,short_4h,4,15,0.21648223403828404
90,11,short_4h,4,15,0.7801705830184209
91,12,urgent_0h,0,12,0.46086221394670007
92,12,short_4h,4,16,0.6308091658425479
93,12,short_4h,4,16,0.11580553736743109
94,12,urgent_0h,0,12,0.27875564429374994
95,12,urgent_0h,0,12,0.9611118056703207
96,12,short_4h,4,16,0.33810465769988274
97,12,urgent_0h,0,12,0.05841206069424291
98,12,urgent_0h,0,12,0.25933242581595234
99,12,short_4h,4,16,0.46589352644463733
100,13,urgent_0h,0,13,0.5182080594273509
101,13,flexible_12h,12,25,0.15314950190917875
102,13,urgent_0h,0,13,0.5885049217259132
103,13,urgent_0h,0,13,0.7800380218797256
104,13,urgent_0h,0,13,0.2856040694926198
105,13,flexible_12h,12,25,0.1740191134263417
106,13,flexible_12h,12,25,0.49569562169693665
107,14,urgent_0h,0,14,0.9718575188169971
108,14,short_4h,4,18,0.8085010934975977
109,14,urgent_0h,0,14,0.38762161788044186
110,14,short_4h,4,18,1.2619813330229015
111,14,short_4h,4,18,0.5190398861783355
112,14,urgent_0h,0,14,0.7794937376101888
113,14,urgent_0h,0,14,0.8583515824324893
114,14,short_4h,4,18,0.32775347209088895
115,15,urgent_0h,0,15,0.08672127414856994
116,15,flexible_12h,12,27,0.5896338360220815
117,15,short_4h,4,19,0.671214798465463
118,15,short_4h,4,19,0.07930509109582849
119,15,flexible_12h,12,27,0.40218106104890095
120,15,short_4h,4,19,0.16313752582559637
121,15,urgent_0h,0,15,0.20612303472312363
122,15,short_4h,4,19,0.08535715359129004
123,15,flexible_12h,12,27,0.07049813369794244
124,15,short_4h,4,19,0.3250298979534793
125,16,flexible_12h,12,28,0.08223858509048297
126,16,urgent_0h,0,16,0.33525770397692545
127,16,flexible_12h,12,28,1.6504994790257823
128,16,urgent_0h,0,16,0.37257507077326246
129,16,short_4h,4,20,0.16118689565266864
130,16,short_4h,4,20,0.6012658975510874
131,16,urgent_0h,0,16,0.303018775898612
132,16,short_4h,4,20,1.6062793739669559
133,17,short_4h,4,21,1.0108560449273805
134,17,short_4h,4,21,0.717724502820843
135,17,flexible_12h,12,29,0.41550930969835126
136,17,short_4h,4,21,0.35527287777439354
137,17,flexible_12h,12,29,0.25222563994838215
138,17,urgent_0h,0,17,0.3894744105944333
139,18,urgent_0h,0,18,0.266408775826125
140,18,flexible_12h,12,30,0.10223889558151211
141,18,flexible_12h,12,30,0.16940397638826885
142,18,short_4h,4,22,0.26533766616438365
143,18,urgent_0h,0,18,0.14165597457108117
144,18,urgent_0h,0,18,0.2324342272370804
145,18,urgent_0h,0,18,0.15213544585685873
146,18,short_4h,4,22,0.5145979255416814
147,18,urgent_0h,0,18,0.21651585766155443
148,18,short_4h,4,22,0.7693638665058168
149,19,short_4h,4,23,0.12392038097900036
150,19,urgent_0h,0,19,0.3537121973998737
151,19,flexible_12h,12,31,0.29599635928906404
152,19,flexible_12h,12,31,0.4296306872512611
153,20,short_4h,4,24,0.5011146869947732
154,20,short_4h,4,24,0.34168746186845816
155,20,urgent_0h,0,20,0.3190646995084918
156,20,short_4h,4,24,0.8558450560809819
157,20,urgent_0h,0,20,1.6311915786241828
158,20,flexible_12h,12,32,0.2764714973751608
159,20,short_4h,4,24,0.4129773003979443
160,20,short_4h,4,24,0.15559542926346287
161,20,flexible_12h,12,32,0.18788681734043972
162,21,flexible_12h,12,33,1.1029938008512912
163,21,short_4h,4,25,0.22521395026251076
164,21,flexible_12h,12,33,0.8607875210302867
165,21,urgent_0h,0,21,0.5507140807851346
166,21,short_4h,4,25,0.4937506052251056
167,21,urgent_0h,0,21,0.1577844924858889
168,22,flexible_12h,12,34,0.446835772240938
169,22,short_4h,4,26,0.221974034878713
170,22,flexible_12h,12,34,0.34839967763168395
171,22,urgent_0h,0,22,0.4538843931435699
172,22,flexible_12h,12,34,0.3473798033096671
173,22,urgent_0h,0,22,0.34475250375783695
174,22,urgent_0h,0,22,0.9280401356708496
175,22,short_4h,4,26,0.19447545431161117
176,22,urgent_0h,0,22,0.05893644103899467
177,23,short_4h,4,27,0.566001520850238
178,23,short_4h,4,27,0.06773471733029761
179,23,short_4h,4,27,3.0
180,23,urgent_0h,0,23,0.4196139765532675
181,23,short_4h,4,27,0.27646774966119736
182,23,short_4h,4,27,0.8927218669581779
183,23,short_4h,4,27,0.37720585438816584
184,23,flexible_12h,12,35,0.3428101926414936
185,23,flexible_12h,12,35,0.15101683424401616
186,23,short_4h,4,27,0.42776574517758126
187,23,urgent_0h,0,23,0.22823907891498685
188,24,flexible_12h,12,36,0.5751227697399152
189,24,urgent_0h,0,24,0.45979047829660313
190,24,flexible_12h,12,36,0.22294578900612413
191,24,short_4h,4,28,0.196464485713475
192,25,short_4h,4,29,0.4107336483090803
193,25,short_4h,4,29,0.3831584020744155
194,25,urgent_0h,0,25,0.4283996710545984
195,25,short_4h,4,29,0.13420983620973526
196,25,flexible_12h,12,37,0.26728929951104446
197,25,short_4h,4,29,0.15982094909622271
198,25,urgent_0h,0,25,0.4439796067343265
199,26,flexible_12h,12,38,0.33414176184494143
200,26,urgent_0h,0,26,0.12906453017555278
201,26,short_4h,4,30,0.5830916448135892
202,26,flexible_12h,12,38,0.3812108069002337
203,26,flexible_12h,12,38,0.447119301042553
204,27,urgent_0h,0,27,0.5308806231659132
205,27,short_4h,4,31,0.43734423935755246
206,27,short_4h,4,31,0.21042742701000322
207,27,urgent_0h,0,27,0.10187903764324097
208,27,short_4h,4,31,0.4500396457403136
209,27,short_4h,4,31,0.12938016843117267
210,27,urgent_0h,0,27,0.2908175248288431
211,28,urgent_0h,0,28,0.5249474529907008
212,28,urgent_0h,0,28,0.35782867571195665
213,28,urgent_0h,0,28,0.7213974322133669
214,28,short_4h,4,32,1.5560046600285915
215,28,flexible_12h,12,40,0.05808015427568747
216,28,urgent_0h,0,28,0.24826454486917485
217,28,urgent_0h,0,28,0.6609769929445342
218,29,short_4h,4,33,0.1463401788998351
219,29,short_4h,4,33,0.33012756413525324
220,29,short_4h,4,33,0.0798137052611899
221,29,flexible_12h,12,41,0.1269498192749095
222,29,flexible_12h,12,41,0.27015382911402036
223,29,flexible_12h,12,41,0.34425049001004177
224,29,flexible_12h,12,41,0.30982932707747146
225,29,short_4h,4,33,0.6250678887660812
226,29,urgent_0h,0,29,0.4419531996402135
227,29,short_4h,4,33,0.0724958111918725
228,29,urgent_0h,0,29,0.6593266757718897
229,30,short_4h,4,34,0.6197094900243876
230,30,short_4h,4,34,0.640785159090287
231,30,short_4h,4,34,1.9306051624253624
232,30,short_4h,4,34,0.2632412864728298
233,30,urgent_0h,0,30,0.13016480458915367
234,31,urgent_0h,0,31,1.4525190843445641
235,31,flexible_12h,12,43,0.20449892766264513
236,31,short_4h,4,35,0.9904763027561365
237,31,urgent_0h,0,31,0.6376640314760414
238,31,short_4h,4,35,0.31164905779776186
239,31,short_4h,4,35,0.7367492727927649
240,32,short_4h,4,36,0.30043233269364034
241,32,short_4h,4,36,0.7788579209866009
242,32,urgent_0h,0,32,0.2598367409166015
243,32,urgent_0h,0,32,0.3829949429737832
244,32,flexible_12h,12,44,3.0
245,32,short_4h,4,36,0.15388234482311827
246,32,short_4h,4,36,0.25226744897272235
247,32,short_4h,4,36,0.5254727266235018
248,32,flexible_12h,12,44,0.27537865140481893
249,32,flexible_12h,12,44,1.2416552712879834
250,32,flexible_12h,12,44,0.07925125786681513
251,32,urgent_0h,0,32,0.627754207491016
252,33,urgent_0h,0,33,1.0212797736546584
253,33,short_4h,4,37,0.5298539029803818
254,33,short_4h,4,37,0.10316786061075116
255,33,flexible_12h,12,45,0.3336559585974132
256,33,urgent_0h,0,33,0.3472428001183008
257,33,short_4h,4,37,0.4941791593179774
258,33,flexible_12h,12,45,0.14307556436709368
259,33,flexible_12h,12,45,0.3894911349023485
260,33,flexible_12h,12,45,0.43993495407765737
261,34,short_4h,4,38,0.10561510210506922
262,34,short_4h,4,38,0.2404242738102804
263,34,flexible_12h,12,46,0.35416297110363665
264,34,urgent_0h,0,34,0.2920259495687525
265,34,short_4h,4,38,0.13853349392053665
266,34,urgent_0h,0,34,0.40316653590314816
267,34,short_4h,4,38,0.648223744741969
268,34,urgent_0h,0,34,0.5174110845127988
269,35,urgent_0h,0,35,0.47697780377535254
270,35,short_4h,4,39,0.1570119401470244
271,35,urgent_0h,0,35,0.36502551524542814
272,35,urgent_0h,0,35,1.3670372367694685
273,35,short_4h,4,39,0.07208284411118182
274,35,flexible_12h,12,47,1.0345849458751841
275,35,short_4h,4,39,0.36783597523495626
276,35,flexible_12h,12,47,0.16341035048971295
277,35,short_4h,4,39,0.5827674300893526
278,36,short_4h,4,40,1.0890632748477431
279,36,short_4h,4,40,3.0
280,36,short_4h,4,40,0.2609243379925314
281,36,flexible_12h,12,48,2.435965256228339
282,36,urgent_0h,0,36,0.42290078178862733
283,36,urgent_0h,0,36,0.34896116120140724
284,36,urgent_0h,0,36,0.23750802605990676
285,36,urgent_0h,0,36,0.7242778238753956
286,36,urgent_0h,0,36,0.07998296694550958
287,36,short_4h,4,40,0.5850659431354894
288,36,short_4h,4,40,0.3226754164685475
289,37,urgent_0h,0,37,0.388364334100967
290,37,short_4h,4,41,0.9842085279528597
291,37,short_4h,4,41,0.6745076818095932
292,37,flexible_12h,12,49,0.16350285052287317
293,38,short_4h,4,42,0.3792449323021772
294,38,flexible_12h,12,50,0.5294146283898158
295,38,short_4h,4,42,0.24523550933273744
296,38,short_4h,4,42,0.2768898362971211
297,38,flexible_12h,12,50,0.5640015772224573
298,38,flexible_12h,12,50,0.1524352705434769
299,39,short_4h,4,43,0.4734219127919488
300,39,flexible_12h,12,51,0.733714282884246
301,39,flexible_12h,12,51,0.1679659148195867
302,39,flexible_12h,12,51,0.07008797261075192
303,39,short_4h,4,43,0.3837894272998715
304,39,short_4h,4,43,0.8928782891626648
305,39,short_4h,4,43,0.10827397128454148
306,39,short_4h,4,43,0.22833153082622817
307,39,urgent_0h,0,39,0.14826621875252097
308,39,urgent_0h,0,39,0.26043848183825374
309,39,urgent_0h,0,39,0.23066529423593857
310,39,urgent_0h,0,39,0.7821595917013567
311,40,short_4h,4,44,0.20796605482768948
312,40,flexible_12h,12,52,0.4458563607662332
313,40,urgent_0h,0,40,0.4863898592967052
314,40,short_4h,4,44,0.3964180396750613
315,40,urgent_0h,0,40,0.7018253289089506
316,40,urgent_0h,0,40,0.3931606161284493
317,40,urgent_0h,0,40,0.11124692708644858
318,40,short_4h,4,44,0.48629572430812795
319,40,short_4h,4,44,0.3527074176774501
320,40,short_4h,4,44,0.09775402391017722
321,41,short_4h,4,45,0.29673627133963115
322,41,urgent_0h,0,41,0.32814139159532124
323,41,flexible_12h,12,53,0.06473656873407314
324,41,flexible_12h,12,53,0.5001592589485034
325,41,urgent_0h,0,41,0.39491116350627037
326,41,short_4h,4,45,0.25225341895091824
327,42,short_4h,4,46,0.3272216474625825
328,42,urgent_0h,0,42,1.5332623494618005
329,42,flexible_12h,12,54,0.3682805382191629
330,42,flexible_12h,12,54,0.28353742749291727
331,42,short_4h,4,46,0.48153506604528185
332,42,urgent_0h,0,42,0.7338298161146367
333,42,urgent_0h,0,42,0.1579374169469945
334,42,urgent_0h,0,42,0.11913883847499876
335,42,urgent_0h,0,42,0.5194627944542902
336,42,flexible_12h,12,54,0.20975185513430716
337,42,short_4h,4,46,0.47516283672981446
338,42,urgent_0h,0,42,0.2591415056508799
339,42,urgent_0h,0,42,0.43339883878156393
340,42,short_4h,4,46,0.3107701146502599
341,43,short_4h,4,47,0.6272572721097927
342,43,urgent_0h,0,43,0.4803349418985403
343,43,short_4h,4,47,0.6139998188306834
344,43,flexible_12h,12,55,0.33382922280636923
345,43,urgent_0h,0,43,0.3215579311626843
346,43,urgent_0h,0,43,0.4660587186657621
347,43,short_4h,4,47,2.9966951781377222
348,43,short_4h,4,47,0.18496466910008577
349,43,urgent_0h,0,43,0.47020982420241497
350,43,urgent_0h,0,43,0.3152226850344878
351,43,flexible_12h,12,55,0.49704747157257806
352,43,urgent_0h,0,43,0.30723560381129245
353,44,short_4h,4,48,0.455861753486459
354,44,urgent_0h,0,44,0.8827967664807032
355,44,short_4h,4,48,0.5197824997931357
356,44,flexible_12h,12,56,0.7135059833152694
357,44,flexible_12h,12,56,0.4791618737400094
358,45,flexible_12h,12,57,0.11565242600169676
359,45,flexible_12h,12,57,0.6149449465491706
360,45,short_4h,4,49,0.1441849377710311
361,45,short_4h,4,49,0.34995219211635314
362,45,flexible_12h,12,57,0.49521346515414233
363,45,short_4h,4,49,0.257191840277776
364,46,short_4h,4,50,0.08920143989865212
365,46,urgent_0h,0,46,1.0031925715703744
366,46,flexible_12h,12,58,0.6206270891237258
367,46,flexible_12h,12,58,0.2062912369124033
368,46,urgent_0h,0,46,0.10899350390318063
369,46,short_4h,4,50,0.16363596857389723
370,46,flexible_12h,12,58,0.1554233068387359
371,47,short_4h,4,51,0.3875544695284008
372,47,urgent_0h,0,47,0.3372806190004563
373,47,short_4h,4,51,0.6674898375837908
374,47,short_4h,4,51,0.16935069300266908
375,48,short_4h,4,52,0.7261311820150188
376,48,short_4h,4,52,0.20180221432570203
377,48,short_4h,4,52,0.41194653809227894
378,48,urgent_0h,0,48,0.20900829570825724
379,48,short_4h,4,52,0.30035325935706564
380,48,short_4h,4,52,0.35537215553731977
381,48,urgent_0h,0,48,0.1519128738438303
382,48,urgent_0h,0,48,0.11833644723665325
383,49,flexible_12h,12,61,0.5728089325024265
384,49,flexible_12h,12,61,0.8599407746971349
385,49,short_4h,4,53,0.6373171848876139
386,49,short_4h,4,53,0.16390795669388383
387,49,urgent_0h,0,49,0.7295770163382982
388,49,flexible_12h,12,61,0.43855073890396945
389,49,short_4h,4,53,1.5645805404855428
390,49,flexible_12h,12,61,0.7538202957161019
391,49,flexible_12h,12,61,0.11194649375051728
392,49,flexible_12h,12,61,0.5607284552464927
393,50,urgent_0h,0,50,0.03701045240275175
394,50,urgent_0h,0,50,0.7330325619777656
395,50,short_4h,4,54,0.46312233901376915
396,50,urgent_0h,0,50,0.20866219664268268
397,50,flexible_12h,12,62,0.40619829127945556
398,50,flexible_12h,12,62,0.7841024800813307
399,50,urgent_0h,0,50,0.4831308230015768
400,50,urgent_0h,0,50,0.2716623189810916
401,50,urgent_0h,0,50,1.203803917682516
402,51,flexible_12h,12,63,0.7842993094177575
403,51,short_4h,4,55,0.12805040861913464
404,51,short_4h,4,55,0.29502229220632536
405,51,urgent_0h,0,51,0.4902476053919644
406,51,flexible_12h,12,63,0.5922442404652044
407,52,urgent_0h,0,52,0.16947865680475813
408,52,short_4h,4,56,1.1017075264786522
409,52,short_4h,4,56,0.2927514225315034
410,52,short_4h,4,56,0.4576479211356519
411,52,urgent_0h,0,52,0.08449435253718508
412,52,flexible_12h,12,64,0.557488407804023
413,52,urgent_0h,0,52,0.33125744561993004
414,53,flexible_12h,12,65,0.39563146551784545
415,53,flexible_12h,12,65,0.3048605625112554
416,53,urgent_0h,0,53,0.46948689278464234
417,53,urgent_0h,0,53,0.5623950557928018
418,53,short_4h,4,57,0.11766831938680676
419,53,flexible_12h,12,65,1.006603394342993
420,53,flexible_12h,12,65,0.9028360372448503
421,54,urgent_0h,0,54,0.47751153417579273
422,54,urgent_0h,0,54,0.5577015395384458
423,54,flexible_12h,12,66,1.4015308726523963
424,54,flexible_12h,12,66,0.7146005691428359
425,54,urgent_0h,0,54,0.6131164159997857
426,54,short_4h,4,58,0.34849079639862013
427,55,urgent_0h,0,55,1.1048041950372642
428,55,flexible_12h,12,67,0.3357789215122969
429,55,urgent_0h,0,55,0.20180798971840036
430,55,flexible_12h,12,67,0.3323150747559934
431,55,short_4h,4,59,0.5377578864388441
432,56,flexible_12h,12,68,0.2758521250706381
433,56,urgent_0h,0,56,0.9656310465029596
434,56,flexible_12h,12,68,1.0228649548832796
435,56,urgent_0h,0,56,0.17421250156748863
436,56,short_4h,4,60,0.6335052747788188
437,56,flexible_12h,12,68,0.4971426079528807
438,56,short_4h,4,60,0.9185686379336137
439,56,short_4h,4,60,0.3894502957939933
440,57,urgent_0h,0,57,0.1276351924334708
441,57,short_4h,4,61,0.15302642840238956
442,57,urgent_0h,0,57,0.2884397271333448
443,57,flexible_12h,12,69,0.9958635524702466
444,57,urgent_0h,0,57,0.2166516002222595
445,58,short_4h,4,62,0.15565549618991062
446,58,flexible_12h,12,70,1.3140627847745776
447,58,short_4h,4,62,0.5010080353224691
448,58,urgent_0h,0,58,0.24034094127924546
449,59,short_4h,4,63,0.11668213205169445
450,59,urgent_0h,0,59,0.13911102580607937
451,59,urgent_0h,0,59,0.7089281899163191
452,59,flexible_12h,12,71,1.0511220290090473
453,59,flexible_12h,12,71,0.9239282827494711
454,59,flexible_12h,12,71,0.6172407547269371
455,59,flexible_12h,12,71,0.38561047105002944
456,60,short_4h,4,64,0.20173277121690197
457,60,urgent_0h,0,60,0.2919431096586466
458,60,urgent_0h,0,60,0.11964018565652661
459,60,urgent_0h,0,60,0.09590390223207802
460,60,urgent_0h,0,60,0.12563264369658164
461,60,flexible_12h,12,72,0.12076286033552942
462,60,flexible_12h,12,72,0.2757703978151788
463,60,urgent_0h,0,60,0.18831527161704642
464,60,short_4h,4,64,0.21702348881598715
465,61,urgent_0h,0,61,0.5780152560464001
466,61,urgent_0h,0,61,1.5278425555619497
467,61,short_4h,4,65,0.12100358547389092
468,61,flexible_12h,12,73,0.4341338457058712
469,61,urgent_0h,0,61,2.2536631166602517
470,61,urgent_0h,0,61,0.8486570903884516
471,61,flexible_12h,12,73,1.5060814209800508
472,61,short_4h,4,65,0.4066767152282565
473,61,short_4h,4,65,0.8312143062299601
474,62,short_4h,4,66,0.2753139361883806
475,62,flexible_12h,12,74,0.5027149791935637
476,62,short_4h,4,66,0.7618503379526353
477,62,flexible_12h,12,74,0.12369697187770265
478,62,short_4h,4,66,0.1122076852665346
479,62,urgent_0h,0,62,0.09637846449654096
480,62,flexible_12h,12,74,0.22247500045859203
481,62,urgent_0h,0,62,0.08930468980522664
482,63,short_4h,4,67,0.7526075274840945
483,63,urgent_0h,0,63,0.10734496152717057
484,63,short_4h,4,67,0.5922345478846979
485,63,short_4h,4,67,0.5384346098800166
486,63,short_4h,4,67,0.28369453125711436
487,63,short_4h,4,67,0.30501279408286797
488,63,flexible_12h,12,75,0.946354114566923
489,63,short_4h,4,67,0.9169972936978645
490,63,short_4h,4,67,0.2014171900820252
491,63,short_4h,4,67,0.3988619738157044
492,63,flexible_12h,12,75,1.0010279277032628
493,63,urgent_0h,0,63,0.5846094912499005
494,64,short_4h,4,68,0.24888538105317307
495,64,urgent_0h,0,64,0.2658910277182081
496,64,flexible_12h,12,76,1.4073552834905987
497,64,urgent_0h,0,64,0.8257494569433353
498,65,short_4h,4,69,0.2457164999150552
499,65,urgent_0h,0,65,0.39009596553510445
500,65,short_4h,4,69,0.6061097620462746
501,65,flexible_12h,12,77,0.37079610268063895
502,65,short_4h,4,69,1.906886541604652
503,65,short_4h,4,69,0.11253776713929566
504,65,flexible_12h,12,77,0.19286263302813958
505,65,urgent_0h,0,65,0.4386069619599704
506,65,flexible_12h,12,77,0.4145208659423997
507,65,urgent_0h,0,65,0.24250545017681077
508,66,short_4h,4,70,0.13335479868238134
509,66,flexible_12h,12,78,0.24842887355522067
510,66,short_4h,4,70,0.5059200335809111
511,67,short_4h,4,71,0.23405843456630546
512,67,short_4h,4,71,0.6369265207616505
513,67,short_4h,4,71,1.0435773834175972
514,67,urgent_0h,0,67,0.4217733264010676
515,67,short_4h,4,71,0.3573459005078392
516,67,short_4h,4,71,0.23096110821734803
517,68,short_4h,4,72,0.5745280844269963
518,68,short_4h,4,72,0.16560077024083292
519,68,short_4h,4,72,0.09540267293655738
520,68,urgent_0h,0,68,1.5796984690096396
521,68,flexible_12h,12,80,0.4323075889289152
522,68,urgent_0h,0,68,0.13468411238746017
523,68,urgent_0h,0,68,0.5582896206366211
524,68,urgent_0h,0,68,0.288604173148738
525,69,short_4h,4,73,0.6870663861366749
526,69,urgent_0h,0,69,0.18126785957347194
527,69,urgent_0h,0,69,0.21118039083415144
528,69,flexible_12h,12,81,0.20589130834408725
529,69,flexible_12h,12,81,0.16318836799866487
530,69,short_4h,4,73,0.07734802465985234
531,69,short_4h,4,73,0.5629856377406751
532,69,flexible_12h,12,81,0.8636860577564426
533,69,short_4h,4,73,0.1278491071544436
534,69,flexible_12h,12,81,0.3605604664728419
535,69,short_4h,4,73,0.39393804638807484
536,69,flexible_12h,12,81,0.30029381921939163
537,69,short_4h,4,73,0.8128850183563415
538,70,urgent_0h,0,70,0.23209959398061086
539,70,flexible_12h,12,82,0.2224166570739652
540,70,short_4h,4,74,1.1311289183837987
541,70,urgent_0h,0,70,0.46460672345962106
542,70,flexible_12h,12,82,1.629294880384086
543,70,flexible_12h,12,82,0.32374023054958445
544,70,short_4h,4,74,0.3439388596510745
545,70,flexible_12h,12,82,0.09818722410100686
546,70,urgent_0h,0,70,0.15090425951058606
547,70,flexible_12h,12,82,0.737607688922749
548,71,urgent_0h,0,71,0.1813647177909202
549,71,short_4h,4,75,0.6352961772638883
550,71,short_4h,4,75,0.29625453831145643
551,71,short_4h,4,75,0.3342981965091741
552,71,flexible_12h,12,83,0.5053617871220067
553,71,short_4h,4,75,1.1617175456896451
554,72,flexible_12h,12,84,0.3832761253304076
555,72,flexible_12h,12,84,0.45812338808148684
556,72,flexible_12h,12,84,1.4275182070071952
557,72,flexible_12h,12,84,0.4784774051957466
558,72,short_4h,4,76,1.569412504686662
559,72,short_4h,4,76,0.3690424405137889
560,73,flexible_12h,12,85,0.36829078760813855
561,73,short_4h,4,77,0.35404658081616786
562,73,short_4h,4,77,0.538979246384684
563,73,urgent_0h,0,73,0.4013079962216207
564,73,flexible_12h,12,85,0.27010588846569045
565,73,flexible_12h,12,85,0.3284357343973737
566,73,flexible_12h,12,85,0.3887163655574715
567,73,flexible_12h,12,85,0.6458195962742369
568,73,flexible_12h,12,85,0.9142332320540069
569,73,flexible_12h,12,85,0.14789984844545417
570,73,urgent_0h,0,73,0.23234339584458089
571,73,short_4h,4,77,0.14749305590705475
572,74,short_4h,4,78,0.9700622155615448
573,74,flexible_12h,12,86,0.16442610472802321
574,74,urgent_0h,0,74,0.8121196334698206
575,74,flexible_12h,12,86,0.28371345567991546
576,74,flexible_12h,12,86,0.5575854551611144
577,74,short_4h,4,78,0.6117270818915936
578,75,urgent_0h,0,75,1.8622775239319713
579,75,short_4h,4,79,0.5521891499185024
580,75,urgent_0h,0,75,0.22099093079066764
581,75,short_4h,4,79,2.269528499309313
582,75,short_4h,4,79,0.5764155034831049
583,75,short_4h,4,79,0.1630166360467055
584,75,flexible_12h,12,87,0.3526434858541936
585,75,flexible_12h,12,87,0.9171578145383174
586,76,short_4h,4,80,0.14800029394388983
587,76,short_4h,4,80,0.47218187017010693
588,76,urgent_0h,0,76,0.08981974304836227
589,76,urgent_0h,0,76,0.8582957513405589
590,76,short_4h,4,80,0.11711849654936403
591,76,short_4h,4,80,0.05274873935910181
592,76,urgent_0h,0,76,0.17356628625414297
593,77,flexible_12h,12,89,1.162372554797951
594,77,urgent_0h,0,77,0.6312605958793112
595,77,short_4h,4,81,0.5327536283324085
596,77,urgent_0h,0,77,0.09156780252325258
597,77,short_4h,4,81,0.2257206762783555
598,77,short_4h,4,81,0.4231133853783421
599,77,urgent_0h,0,77,0.6260521200589342
600,77,urgent_0h,0,77,0.3836411861340549
