scenario_id,normalized_solver_objective,active_weight_sum,average_delay_hours,peak_queue_mwh,total_dc_grid_energy_mwh,site_water_consumption_m3,indirect_grid_water_consumption_m3,heat_rejected_mwh_thermal,weight_electricity_cost_usd,electricity_cost_usd,normalized_electricity_cost_usd,weight_grid_co2e_metric_tons,grid_co2e_metric_tons,normalized_grid_co2e_metric_tons,weight_total_water_footprint_m3,total_water_footprint_m3,normalized_total_water_footprint_m3,weight_delay_mwh_hours,delay_mwh_hours,normalized_delay_mwh_hours,pair_name,metric_1,metric_2,alpha_weight_on_metric_1,one_minus_alpha_weight_on_metric_2,pairwise_nondominated
electricity_cost_usd__vs__total_water_footprint_m3__alpha_0.75,1.9980929359776731,0.75,2.5209076180831747,27.80893266233419,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.75,29413.982380461224,2.6641239808877015e-08,0.0,350.69407234226014,0.10508213596155759,0.25,5135.369745002203,0.0,0.0,1700.2786773057455,0.504926074058286,electricity_cost_usd__vs__total_water_footprint_m3,electricity_cost_usd,total_water_footprint_m3,0.75,0.25,True
electricity_cost_usd__vs__total_water_footprint_m3__alpha_0.80,2.1312991317095156,0.8,2.520907618096923,27.808932662334218,1068.088549293304,307.60950219647145,4827.760242805733,1068.088549293304,0.8,29413.982380461202,2.664123721522801e-08,0.0,350.694072342268,0.1050821359617713,0.19999999999999996,5135.369745002204,0.0,0.0,1700.2786773150187,0.504926074061041,electricity_cost_usd__vs__total_water_footprint_m3,electricity_cost_usd,total_water_footprint_m3,0.8,0.19999999999999996,True
electricity_cost_usd__vs__total_water_footprint_m3__alpha_0.85,2.2645053274413627,0.8500000000000001,2.5209076180944305,27.808932662334207,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.8500000000000001,29413.982380461202,2.664123721522801e-08,0.0,350.6940723422665,0.10508213596173104,0.1499999999999999,5135.369745002203,0.0,0.0,1700.2786773133373,0.5049260740605414,electricity_cost_usd__vs__total_water_footprint_m3,electricity_cost_usd,total_water_footprint_m3,0.8500000000000001,0.1499999999999999,True
electricity_cost_usd__vs__total_water_footprint_m3__alpha_0.90,2.397711523173204,0.9,2.5209076180889163,27.808932662334197,1068.0885492933035,307.6095021964714,4827.760242805733,1068.0885492933035,0.9,29413.98238046121,2.664123807977768e-08,0.0,350.6940723422633,0.10508213596164431,0.09999999999999998,5135.369745002203,0.0,0.0,1700.2786773096182,0.5049260740594365,electricity_cost_usd__vs__total_water_footprint_m3,electricity_cost_usd,total_water_footprint_m3,0.9,0.09999999999999998,True
electricity_cost_usd__vs__total_water_footprint_m3__alpha_0.95,2.530917718905054,0.9500000000000001,2.5209076180788164,27.808932662334193,1068.088549293304,307.60950219647145,4827.760242805733,1068.088549293304,0.9500000000000001,29413.98238046124,2.664124153797635e-08,0.0,350.69407234225764,0.10508213596148945,0.04999999999999993,5135.369745002203,0.0,0.0,1700.278677302806,0.5049260740574127,electricity_cost_usd__vs__total_water_footprint_m3,electricity_cost_usd,total_water_footprint_m3,0.9500000000000001,0.04999999999999993,True
electricity_cost_usd__vs__total_water_footprint_m3__alpha_1.00,2.664123914636898,1.0,2.5209076180720746,27.808932662334207,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,1.0,29413.982380461246,2.664124240252602e-08,0.0,350.6940723422538,0.10508213596138415,0.0,5135.369745002203,0.0,0.0,1700.278677298259,0.5049260740560618,electricity_cost_usd__vs__total_water_footprint_m3,electricity_cost_usd,total_water_footprint_m3,1.0,0.0,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.00,0.00020143109258769537,1.0,0.0010052693045717537,0.5073249885434996,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.0,33807.280459427435,0.5220240126885609,0.0,364.4537277048684,0.4799423329173868,0.0,5135.369745002203,0.0,1.0,0.6780248317123907,0.0,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.0,1.0,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.05,0.15949875590423115,1.0,0.001005269304571759,0.5073249885434996,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.05,33807.28045942744,0.5220240126885617,0.0,364.45372770486847,0.47994233291738836,0.0,5135.369745002204,0.0,0.95,0.6780248317123942,0.0,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.05,0.95,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.10,0.31879608071587434,1.0,0.001005269304571759,0.5073249885434996,1068.0885492933035,307.60950219647145,4827.760242805732,1068.0885492933035,0.1,33807.280459427435,0.5220240126885609,0.0,364.4537277048684,0.4799423329173868,0.0,5135.369745002203,0.0,0.9,0.6780248317123942,0.0,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.1,0.9,True
electricity_cost_usd__vs__delay_mwh_hours__alpha_0.15,0.4777827604386791,1.0,0.014794750576085546,7.638124980325513,1068.0885492933035,307.6095021964714,4827.760242805731,1068.0885492933035,0.15000000000000002,33658.08096531709,0.5042957107996859,0.0,364.41066447077174,0.47876914274731147,0.0,5135.369745002203,0.0,0.85,9.97862784027859,0.0027630708170499046,electricity_cost_usd__vs__delay_mwh_hours,electricity_cost_usd,delay_mwh_hours,0.15000000000000002,0.85,True
