scenario_id,normalized_solver_objective,active_weight_sum,average_delay_hours,peak_queue_mwh,total_dc_grid_energy_mwh,site_water_consumption_m3,indirect_grid_water_consumption_m3,heat_rejected_mwh_thermal,weight_electricity_cost_usd,electricity_cost_usd,normalized_electricity_cost_usd,weight_grid_co2e_metric_tons,grid_co2e_metric_tons,normalized_grid_co2e_metric_tons,weight_total_water_footprint_m3,total_water_footprint_m3,normalized_total_water_footprint_m3,weight_delay_mwh_hours,delay_mwh_hours,normalized_delay_mwh_hours
all_metrics_022,4.47884396365298,1.0,1.9510608768632136,26.58323260071629,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,0.25,30002.325203108754,0.06990856913491607,0.5,347.9489264803994,0.030294948976771464,0.0,5135.369745002204,0.0,0.25,1315.9336674060226,0.3907428883492977
all_metrics_023,4.368569720060989,0.75,2.4691820978603563,27.805963701205386,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.25,29910.629754348454,0.0590130590183994,0.5,347.2284380847527,0.010666374366505717,0.25,5135.369745002204,0.0,0.0,1665.3913222608678,0.49456155978756866
all_metrics_024,6.212051618509861,1.0,2.4061269024459007,27.02408377822306,1068.0885492933035,307.6095021964715,4827.760242805733,1068.0885492933035,0.25,29981.62827888196,0.06744930261359382,0.75,347.1051102828458,0.007306502124459595,0.0,5135.369745002205,0.0,0.0,1622.8624316789644,0.4819268589686932
all_metrics_025,1.5165219144587372,1.0,1.1458709977677,21.810667067569362,1068.0885492933037,307.6095021964715,4827.760242805733,1068.0885492933037,0.5,30586.448636600522,0.139315751988025,0.0,356.49114276719956,0.2630142137638081,0.0,5135.369745002204,0.0,0.5,772.8565737481928,0.2294027615304057
all_metrics_026,1.4432802960352413,0.75,1.8934791033377973,25.456917823230192,1068.088549293304,307.60950219647157,4827.760242805733,1068.088549293304,0.5,29689.464028356713,0.03273352783611601,0.0,352.07004302682185,0.14256829591451115,0.25,5135.369745002205,0.0,0.25,1277.0964402801997,0.37920492583357
all_metrics_027,1.3320619573184485,0.5,2.5209076180801033,27.808932662334193,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.5,29413.98238046123,2.6641240673426683e-08,0.0,350.6940723422583,0.10508213596150803,0.5,5135.369745002203,0.0,0.0,1700.2786773036742,0.5049260740576706
all_metrics_028,3.3073265001168717,1.0,2.0165756775200525,26.583232600716215,1068.088549293304,307.6095021964715,4827.760242805733,1068.088549293304,0.5,29745.1693189121,0.039352586524364574,0.25,348.7961638340111,0.05337659985200245,0.0,5135.369745002204,0.0,0.25,1360.121490000434,0.40387043319420124
all_metrics_029,3.1932131414874796,0.75,2.4824585503098895,27.808932662334243,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.5,29486.018372468512,0.00855954502824762,0.25,349.1340254197453,0.06258110804893693,0.25,5135.369745002203,0.0,0.0,1674.3459022892184,0.4972218323239284
all_metrics_030,5.045249373354698,1.0,2.4809063949932217,27.808932662334293,1068.088549293304,307.60950219647145,4827.760242805733,1068.088549293304,0.5,29678.415515415167,0.03142071257478535,0.5,347.93991899197704,0.030049554103491628,0.0,5135.369745002204,0.0,0.0,1673.2990187898527,0.4969108188075699
all_metrics_031,2.114096591008171,1.0,2.128140581878313,26.583232600716435,1068.088549293304,307.60950219647157,4827.7602428057335,1068.088549293304,0.75,29519.427670645826,0.012529331437475,0.0,351.2784195094016,0.1210017566491869,0.0,5135.369745002205,0.0,0.25,1435.3687646943956,0.4262252792808398
all_metrics_032,1.9980929359776731,0.75,2.5209076180831747,27.80893266233419,1068.0885492933035,307.60950219647145,4827.760242805733,1068.0885492933035,0.75,29413.982380461224,2.6641239808877015e-08,0.0,350.69407234226014,0.10508213596155759,0.25,5135.369745002203,0.0,0.0,1700.2786773057455,0.504926074058286
all_metrics_033,3.860756556798608,1.0,2.5063460849010126,27.808932662334215,1068.088549293304,307.60950219647145,4827.760242805733,1068.088549293304,0.75,29459.242582118757,0.005377970603587692,0.25,349.3922510453964,0.06961605960402205,0.0,5135.369745002205,0.0,0.0,1690.4573477969172,0.5020083031432733
all_metrics_034,2.664123914636898,1.0,2.5209076180720746,27.808932662334207,1068.0885492933037,307.60950219647145,4827.760242805733,1068.0885492933037,1.0,29413.982380461246,2.664124240252602e-08,0.0,350.6940723422538,0.10508213596138415,0.0,5135.369745002203,0.0,0.0,1700.278677298259,0.5049260740560618
