scenario_id,time,urgent_0h,short_4h,flexible_12h
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,109,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,110,0.0,0.0,0.9754697688076803
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,111,4.3520742565306136e-14,1.3559000156512981,2.47316310541592
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,112,0.0,0.0,3.1510474950373233
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,113,0.0,0.0,4.574306286970422
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,114,-0.0,2.367148742599994,4.574306286970422
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,115,-0.0,5.588813863854434,5.998265594764907
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,116,-0.0,6.7519163236698585,7.03989050595983
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,117,0.0,6.12175517521559,9.602049560490386
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,118,-4.085620730620576e-14,7.357965821397652,11.407251352778836
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,119,-5.495603971894525e-14,5.854301466981001,13.879942881903467
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,120,0.0,4.706523775959017,16.839890020698256
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,121,-0.0,7.534716540529335,18.062535706815186
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,122,-0.0,8.426999293108144,18.46843991754151
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,123,0.0,5.092073306758291,17.90330557013734
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,124,-0.0,7.627226446183823,18.95600615453251
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,125,0.0,1.657946252851441,17.73707468143943
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,126,0.0,1.0243614807562862,11.455937107163578
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,127,-0.0,1.3709722782763403,11.728653428776369
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,128,-0.0,3.4562290031679628,3.024971079951616
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,129,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,130,0.0,2.469638967441572,1.823855534871571
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,131,-0.0,3.6153622831972783,2.0785670223626997
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,132,0.0,2.463777147007435,3.3853235237233976
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,133,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,134,0.0,0.0,-0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,135,0.0,0.0,0.13409878343881218
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,136,0.0,0.0,1.431713066100358
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,137,0.0,0.0,2.415134981999148
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,138,-5.062616992290714e-14,0.5706981463925828,2.674171621762325
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,139,0.0,1.8203939633849342,6.330584613987629
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,140,-7.260858581048524e-14,6.53866399994185,6.330584613987629
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,141,0.0,6.912556889043142,7.067051907871032
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,142,-7.72715225139109e-14,10.01314665597977,8.297320308840272
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,143,-6.394884621840902e-14,4.719867947007726,9.466421018261203
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,144,-6.439293542825908e-14,8.134084360427083,10.76339830141019
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,145,-6.683542608243442e-14,12.1613501193082,13.429666487360869
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,146,-4.474198789239381e-14,9.17246847795157,13.429666487360869
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,147,0.0,6.620837321181309,13.24039698035551
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,148,-1.0058620603103918e-13,8.19103760472429,14.410847272558005
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,149,-9.835188219398106e-14,4.27987024618676,14.6922718145515
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,150,-1.085659340205325e-13,4.338828869505065,7.188596829545031
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,151,0.0,0.8405741982249193,6.570384284116209
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,152,-1.1382561559969417e-13,2.3251872314403856,7.352286225226561
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,153,-1.1382561559969417e-13,3.402427912858526,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,154,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,155,0.0,0.0,0.0
electricity_cost_usd__vs__grid_co2e_metric_tons__alpha_0.00,156,0.0,0.0,0.0
