site_code,earliest_observation,latest_observation,n_all_records,n_observations,n_distinct_observation_times,n_intervals,median_measurement_interval_days,largest_gap_days,intervals_le_45_days,share_intervals_le_45_days,intervals_le_90_days,share_intervals_le_90_days,intervals_le_180_days,share_intervals_le_180_days,span_years,overlaps_1990_11_to_1999_11,overlaps_2008_plus,collecting_entities,submitting_entities
337329N1179000W001,1971-07-07 00:00:00,1982-09-30 00:00:00,7,7,7,6,321.0,2577.0,0,0.0,2,0.3333333333333333,2,0.3333333333333333,11.233632449673847,False,False,Orange County Water District,Department of Water Resources
337487N1179145W001,1971-07-07 00:00:00,1982-09-30 00:00:00,7,7,7,6,321.0,2577.0,0,0.0,2,0.3333333333333333,2,0.3333333333333333,11.233632449673847,False,False,Orange County Water District,Department of Water Resources
337522N1179339W001,1971-07-07 00:00:00,1982-09-30 00:00:00,7,7,7,6,321.0,2577.0,0,0.0,2,0.3333333333333333,2,0.3333333333333333,11.233632449673847,False,False,Orange County Water District,Department of Water Resources
337930N1180795W001,1971-07-07 00:00:00,1979-09-28 00:00:00,6,6,6,5,123.0,2577.0,0,0.0,2,0.4,3,0.6,8.227410556000466,False,False,Orange County Water District,Department of Water Resources
337435N1179292W001,1971-07-07 00:00:00,1983-10-31 00:00:00,13,11,11,10,167.5,2577.0,2,0.2,4,0.4,6,0.6,12.317843624441295,False,False,Orange County Water District,Department of Water Resources
337314N1179331W001,1971-07-07 00:00:00,1982-09-30 00:00:00,7,7,7,6,321.0,2577.0,0,0.0,2,0.3333333333333333,2,0.3333333333333333,11.233632449673847,False,False,Orange County Water District,Department of Water Resources
337739N1178918W001,1969-10-07 00:00:00,1976-12-28 00:00:00,4,4,4,3,49.0,2562.0,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,7.225336591442671,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336795N1177521W001,1957-11-14 00:00:00,1997-05-06 00:00:00,281,208,198,197,30.0,2558.0,165,0.8375634517766497,176,0.8934010152284264,183,0.9289340101522843,39.4751432267603,True,False,Orange County Water District,Department of Water Resources
338192N1179204W001,1969-10-03 00:00:00,1976-12-28 00:00:00,4,4,4,3,58.0,2554.0,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,7.236288219470626,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
339164N1179704W001,1968-09-12 00:00:00,2010-10-25 00:00:00,122,116,116,115,76.0,2554.0,23,0.2,72,0.6260869565217392,97,0.8434782608695652,42.117223488504216,True,True,Orange County Water District; United States Geological Survey,Department of Water Resources
337732N1178417W001,1983-11-02 00:00:00,2010-10-27 00:00:00,28,25,25,24,361.0,2550.0,0,0.0,0,0.0,4,0.16666666666666666,26.98481146087873,True,True,Orange County Water District,Department of Water Resources
338637N1178016W001,1983-11-02 00:00:00,1997-10-29 00:00:00,11,11,11,10,365.0,2521.0,2,0.2,2,0.2,2,0.2,13.990704805711275,True,False,Orange County Water District,Department of Water Resources
337195N1180449W001,1983-11-02 00:00:00,2010-10-25 00:00:00,32,32,32,31,246.0,2304.0,0,0.0,1,0.03225806451612903,10,0.3225806451612903,26.979335646864754,True,True,Orange County Water District,Department of Water Resources
336647N1179672W001,1977-07-29 00:00:00,1993-08-25 00:00:00,50,37,37,36,21.5,2235.0,23,0.6388888888888888,28,0.7777777777777778,31,0.8611111111111112,16.074252038029528,True,False,Orange County Water District,Department of Water Resources
337722N1180390W001,1977-11-07 00:00:00,1997-02-20 00:00:00,106,59,55,54,34.5,2187.0,36,0.6666666666666666,44,0.8148148148148148,46,0.8518518518518519,19.288554864234037,True,False,Orange County Water District,Department of Water Resources
337699N1179951W001,1977-11-07 00:00:00,1990-11-07 00:00:00,10,9,9,8,360.0,2187.0,0,0.0,0,0.0,0,0.0,12.999582469181433,True,False,Orange County Water District,Department of Water Resources
337608N1179975W001,1977-11-07 00:00:00,1994-04-01 00:00:00,46,28,27,26,53.5,2187.0,11,0.4230769230769231,16,0.6153846153846154,16,0.6153846153846154,16.397325064854172,True,False,Orange County Water District,Department of Water Resources
337571N1180211W001,1977-11-07 00:00:00,1997-09-18 00:00:00,121,64,61,60,32.0,2187.0,48,0.8,53,0.8833333333333333,54,0.9,19.863515335701624,True,False,Orange County Water District,Department of Water Resources
336966N1179388W001,1981-06-11 00:00:00,2010-06-30 00:00:00,249,157,148,147,21.0,2120.0,104,0.7074829931972789,123,0.8367346938775511,134,0.9115646258503401,29.051931251155054,True,True,Orange County Water District,Department of Water Resources
338606N1177673W001,1969-12-01 00:00:00,1980-10-07 00:00:00,4,4,4,3,1870.0,2072.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,10.850325468695456,False,False,Orange County Water District; United States Geological Survey,Department of Water Resources
336880N1178460W001,1983-11-02 00:00:00,1994-10-31 00:00:00,14,14,14,13,102.0,1934.0,0,0.0,4,0.3076923076923077,8,0.6153846153846154,10.995434540065848,True,False,Orange County Water District,Department of Water Resources
336856N1179333W001,1983-11-04 00:00:00,2010-12-02 00:00:00,112,112,112,111,33.0,1923.0,70,0.6306306306306306,91,0.8198198198198198,106,0.954954954954955,27.07790029911634,True,True,Orange County Water District,Department of Water Resources
337856N1179996W001,1969-06-27 00:00:00,1999-10-29 00:00:00,75,73,73,72,78.5,1829.0,16,0.2222222222222222,46,0.6388888888888888,62,0.8611111111111112,30.338747544439652,True,False,Orange County Water District; United States Geological Survey,Department of Water Resources
337488N1179944W001,1991-10-29 00:00:00,2010-10-28 00:00:00,26,20,20,19,245.0,1826.0,0,0.0,0,0.0,6,0.3157894736842105,18.998336721493253,True,True,Orange County Water District,Department of Water Resources
338950N1178554W001,1969-01-02 00:00:00,2020-03-16 14:30:00,147,140,140,139,78.0,1824.576388888889,27,0.19424460431654678,82,0.5899280575539568,112,0.8057553956834532,51.203253089842136,True,True,Orange County Water District; United States Geological Survey,Department of Water Resources; Orange County Water District
338650N1178151W001,1972-05-16 00:00:00,2010-10-25 00:00:00,199,193,192,191,35.0,1820.0,106,0.5549738219895288,143,0.7486910994764397,181,0.9476439790575916,38.442952285125635,True,True,Orange County Water District; United States Geological Survey,Department of Water Resources
338154N1180633W001,1992-10-24 00:00:00,2002-05-28 00:00:00,133,44,44,43,31.0,1765.0,38,0.8837209302325582,40,0.9302325581395349,41,0.9534883720930233,9.590888245480743,True,False,Orange County Water District,Department of Water Resources
337595N1180740W001,1964-02-28 00:00:00,2010-10-28 00:00:00,247,232,232,231,33.0,1744.0,157,0.6796536796536796,190,0.8225108225108225,214,0.9264069264069265,46.66488702711212,True,True,Orange County Water District,Department of Water Resources
336763N1177475W003,1999-05-21 00:00:00,2004-03-12 00:00:00,3,3,3,2,878.5,1709.0,0,0.0,1,0.5,1,0.5,4.810502611278808,True,False,Orange County Water District,Department of Water Resources
338017N1180260W001,1978-09-25 00:00:00,1991-02-21 00:00:00,414,33,33,32,73.0,1705.0,12,0.375,20,0.625,27,0.84375,12.408194555671917,True,False,Orange County Water District,Department of Water Resources
336749N1179628W001,1970-11-12 13:30:00,2026-06-22 11:26:00,5739,5739,5739,5738,1.0,1703.9583333333333,5703,0.9939003136981527,5730,0.9986057859881492,5735,0.9994771697455559,55.60939345472909,True,True,Orange County Water District; Orange County Water District - 8-001,Orange County Water District; Orange County Water District - 8-001
337077N1178916W001,2003-02-03 00:00:00,2007-11-01 00:00:00,100,4,4,3,29.0,1675.0,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,4.742054936104095,False,False,Orange County Water District,Department of Water Resources
338697N1179513W001,1962-01-01 00:00:00,1966-04-01 00:00:00,55,3,3,2,775.5,1520.0,1,0.5,1,0.5,1,0.5,4.246493767839175,False,False,Orange County Water District,Department of Water Resources
337932N1178916W001,1971-07-06 00:00:00,1988-06-01 00:00:00,39,39,39,38,62.5,1494.0,10,0.2631578947368421,23,0.6052631578947368,28,0.7368421052631579,16.906575768154035,False,False,Orange County Water District,Department of Water Resources
338882N1179619W001,1976-11-01 00:00:00,1986-11-04 00:00:00,79,42,42,41,31.0,1491.0,36,0.8780487804878049,37,0.9024390243902439,37,0.9024390243902439,10.007050110542995,False,False,Orange County Water District,Department of Water Resources
337593N1180743W001,1977-03-07 00:00:00,2004-03-29 00:00:00,270,162,162,161,29.0,1469.0,149,0.9254658385093167,149,0.9254658385093167,150,0.9316770186335404,27.06147285707441,True,False,Orange County Water District,Department of Water Resources
336642N1177443W001,1978-10-30 00:00:00,1984-06-01 00:00:00,5,4,4,3,365.0,1463.0,0,0.0,0,0.0,0,0.0,5.588068201263544,False,False,Orange County Water District,Department of Water Resources
339209N1179218W001,1969-12-29 00:00:00,1996-11-06 00:00:00,78,73,73,72,83.0,1462.0,12,0.16666666666666666,44,0.6111111111111112,62,0.8611111111111112,26.85612983155027,True,False,Orange County Water District; United States Geological Survey,Department of Water Resources
