climate,contrast,heat_rejection,tech_id,PUE_rdhx,PUE_coldplate,PUE_immersion,PUE_subtype_range,WUE_rdhx,WUE_coldplate,WUE_immersion,WUE_subtype_range,semantics,liquid_cooling_type,PUE_dry_adiabatic,PUE_we_tower,dPUE_we_minus_dry,rel_dPUE_we_minus_dry,WUE_dry_adiabatic,WUE_we_tower,dWUE_we_minus_dry,rel_dWUE_we_minus_dry
3B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09469795,1.135405,0.04070704999999997,0.03718564559292357,0.2822190225124359,1.9417279958724976,1.6595089733600616,5.880216572881567
3B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0955814,1.1334024,0.037821000000000105,0.03452139658449852,0.28270135819911957,2.059738516807556,1.7770371586084366,6.2859165938523285
3C,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.10117205,1.1011691,1.09865245,0.0025196000000000662,0.0951188094913959,0.0960442684590816,0.09936282038688654,0.004244010895490646,SOURCE_MODEL_SCENARIO,,,,,,,,,
3C,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.15523815,1.13822905,1.1415293,0.017009099999999888,1.9551759958267214,1.951777994632721,2.0157670974731445,0.06398910284042358,SOURCE_MODEL_SCENARIO,,,,,,,,,
3C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.10117205,1.15523815,0.054066100000000006,0.04909868535075877,0.0951188094913959,1.9551759958267214,1.8600571863353255,19.555093217431192
3C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.1011691,1.13822905,0.037059950000000175,0.03365509439013516,0.0960442684590816,1.951777994632721,1.8557337261736393,19.321649859452574
3C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.09865245,1.1415293,0.04287685000000008,0.03902676410542759,0.09936282038688654,2.0157670974731445,1.916404277086258,19.286935189886943
4A,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.1002377,1.09912,1.0996575499999999,0.0011176999999999992,0.15895976871252054,0.1468856036663055,0.15918361395597455,0.012298010289669065,SOURCE_MODEL_SCENARIO,,,,,,,,,
4A,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.15146755,1.1381592999999999,1.1347547,0.01671285,1.9982256889343262,1.9838776588439941,1.9486099481582642,0.04961574077606201,SOURCE_MODEL_SCENARIO,,,,,,,,,
4A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.1002377,1.15146755,0.05122984999999991,0.046562529169832945,0.15895976871252054,1.9982256889343262,1.8392659202218056,11.57063787346172
4A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09912,1.1381592999999999,0.03903929999999978,0.03551868767741445,0.1468856036663055,1.9838776588439941,1.8369920551776886,12.506277057287143
4A,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0996575499999999,1.1347547,0.03509715000000013,0.03191643616687771,0.15918361395597455,1.9486099481582642,1.7894263342022896,11.241272199644818
4B,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.09616305,1.09714615,1.0952861,0.001860049999999891,0.2851213663816452,0.2954399883747101,0.2984057813882828,0.013284415006637573,SOURCE_MODEL_SCENARIO,,,,,,,,,
4B,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.1285565000000002,1.1227706,1.12533035,0.0057859000000002325,1.9361246824264526,1.9430086612701416,1.9588617086410522,0.02273702621459961,SOURCE_MODEL_SCENARIO,,,,,,,,,
4B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.09616305,1.1285565000000002,0.03239345000000027,0.029551671167898124,0.2851213663816452,1.9361246824264526,1.6510033160448074,5.790528212588881
4B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09714615,1.1227706,0.02562445000000002,0.023355548392527306,0.2954399883747101,1.9430086612701416,1.6475686728954315,5.576661040230615
4B,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,IMMERSION,1.0952861,1.12533035,0.030044249999999995,0.02743050423081238,0.2984057813882828,1.9588617086410522,1.6604559272527695,5.564422778700122
4C,subtype_within_heat_rejection,dry_adiabatic_hybrid,LIQ_DRY_AD,1.10041005,1.09752625,1.102288,0.004761749999999898,0.21686632931232452,0.22042207419872278,0.23404152691364283,0.017175197601318304,SOURCE_MODEL_SCENARIO,,,,,,,,,
4C,subtype_within_heat_rejection,waterside_economizer_tower,LIQ_WE_WCC,1.13454605,1.1287667,1.1251731,0.009372949999999935,1.9621446132659912,1.9685607552528386,1.944140374660492,0.024420380592346635,SOURCE_MODEL_SCENARIO,,,,,,,,,
4C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,REAR_DOOR_HEAT_EXCHANGER,1.10041005,1.13454605,0.034135999999999944,0.03102116342903261,0.21686632931232452,1.9621446132659912,1.7452782839536667,8.047714412319712
4C,heat_rejection_within_subtype,,,,,,,,,,,SOURCE_MODEL_SCENARIO,DIRECT_TO_CHIP_COLD_PLATE,1.09752625,1.1287667,0.031240449999999864,0.028464421693786244,0.22042207419872278,1.9685607552528386,1.7481386810541157,7.930869389596939
