Cooling system,Climate Zone,Data center size,n,pearson,spearman,paired_mean_PUE_x_WUE,indep_mean_PUE_x_WUE,rel_bias_product,frac_independent_farther_than_paired_nn_p95,nn_p95_standardized
Air-cooled chiller,5B,Small,50,0.1573248211898956,0.17099639855942375,0.12958854550806267,0.12926883344003406,-0.0024671321587502394,0.026,0.6966711020365882
Air-cooled chiller,5C,Midsize,50,-0.17363154657492214,-0.1173109243697479,0.1097045859116583,0.11045624511817073,0.006851666229502218,0.0595,0.5435619061245449
Air-cooled chiller,5C,Small,50,-0.14868575978144302,-0.08340936374549819,0.1274506501807984,0.12683394493037609,-0.004838776809278523,0.024,0.6554635063325611
Air-cooled chiller,6A,Midsize,50,0.03827627160187159,0.01944777911164466,0.10796825122729756,0.10782298825397924,-0.0013454230448959534,0.0885,0.5239476862571104
Air-cooled chiller,6A,Small,50,-0.3647607588568457,-0.3561584633853541,0.12290102517352754,0.12310527867393779,0.0016619348790774112,0.0555,0.6184144755471742
Air-cooled chiller,6B,Midsize,50,-0.05385299903995431,-0.01752701080432173,0.10918516199390872,0.11003259255875748,0.007761407771653424,0.0145,0.6668855554613112
Air-cooled chiller,6B,Small,50,0.06788599412598943,0.1470828331332533,0.12679427097313614,0.1258764209773807,-0.007238891700003648,0.018,0.6389855119656894
Air-cooled chiller,7,Midsize,50,0.2869878838418498,0.24504201680672266,0.10600752094048374,0.10611562405323599,0.001019768331465303,0.0095,0.7329529034508712
Air-cooled chiller,7,Small,50,-0.038063915464334665,-0.06669867947178872,0.12207369421981594,0.12267742906529212,0.00494565884431292,0.018,0.7043421908789667
Air-cooled chiller,8,Midsize,50,0.028842098241725414,0.04,0.10224099554617158,0.10143860933536954,-0.007847989023538905,0.089,0.41640614763091705
Air-cooled chiller,8,Small,50,-0.3170879055060875,-0.31015606242496996,0.11664224311003743,0.11840091413099092,0.015077479428224003,0.0505,0.5718037513805937
Airside economizer (air-cooled chiller),0A,Midsize,50,0.0981376498676912,0.0059063625450180065,0.112959703350813,0.11300692488964045,0.0004180387999143509,0.057,0.5366966482942128
Airside economizer (air-cooled chiller),0B,Midsize,50,0.10898333297280195,0.09186074429771908,0.08421518963531748,0.08241328268879392,-0.021396460119919875,0.0095,0.9308066365109451
Airside economizer (air-cooled chiller),1A,Midsize,50,-0.10699954345094384,-0.04701080432172868,0.0689981017257352,0.06951780487078839,0.007532136856735394,0.02,0.7349530333464722
Airside economizer (air-cooled chiller),1B,Midsize,50,0.29612811803132655,0.3333973589435774,0.06809694234217542,0.0663334720893027,-0.025896467480310513,0.02,0.7065707627757121
Airside economizer (air-cooled chiller),2A,Midsize,50,-0.0007184421971858637,0.027803121248499398,0.069423628665821,0.0700982012786938,0.00971675819654923,0.0665,0.5843467597299338
Airside economizer (air-cooled chiller),2B,Midsize,50,-0.011574948652272002,0.06516206482593037,0.062017211426085204,0.0619186103807718,-0.0015898980790343914,0.09,0.5927169107381314
Airside economizer (air-cooled chiller),3A,Midsize,50,0.1601988869533221,0.20710684273709484,0.04732846739780948,0.046845435150967674,-0.010205955810522645,0.024,0.7319388260465259
Airside economizer (air-cooled chiller),3B,Midsize,50,0.36769047632702606,0.4050420168067227,0.04467745224941245,0.044310136642997905,-0.0082214984946769,0.06,0.7311827558376017
Airside economizer (air-cooled chiller),3C,Midsize,50,0.14460677975379788,0.021464585834333732,0.03787231756141952,0.038098208046521136,0.005964527645694764,0.0605,0.7211501347695308
Airside economizer (air-cooled chiller),4A,Midsize,50,0.259438947803984,0.22285714285714284,0.04221729272735009,0.04241691089029094,0.004728350636551503,0.0545,0.6692135594523553
Airside economizer (air-cooled chiller),4B,Midsize,50,0.1373981403486659,0.230828331332533,0.039521369627212616,0.03876748717376327,-0.01907531192770849,0.045,0.7244276223002933
Airside economizer (air-cooled chiller),4C,Midsize,50,0.10962082782780148,0.01944824606193373,0.01683449768712719,0.016576276287345967,-0.015338824156225062,0.051,0.8540706273508631
Airside economizer (air-cooled chiller),5A,Midsize,50,0.15270515375432991,0.142953181272509,0.034357619849068495,0.03445299527486643,0.002775961379656489,0.023,0.8445488867020959
Airside economizer (air-cooled chiller),5B,Midsize,50,0.37802758522610597,0.3801680672268907,0.0352659983748321,0.034822774625896134,-0.012568019320623543,0.0485,0.7832367871356082
Airside economizer (air-cooled chiller),5C,Midsize,50,0.3906694132054139,0.4056279863830969,0.01662797819077721,0.015455263938672291,-0.07052656905428058,0.01,0.9633964919040452
Airside economizer (air-cooled chiller),6A,Midsize,50,0.20632909160734256,0.14737094837935172,0.04434862518774177,0.04360664022762988,-0.016730731944244712,0.0455,0.6784735757202038
Airside economizer (air-cooled chiller),6B,Midsize,50,0.2089206482546119,0.27289315726290514,0.03276141961214999,0.03187013615363585,-0.027205275872221334,0.0635,0.6874403699252797
Airside economizer (air-cooled chiller),7,Midsize,50,0.005759165835492369,-0.032220888355342134,0.048365371740448956,0.048372092168166195,0.0001389512263712825,0.0155,0.8164181240437446
Airside economizer (air-cooled chiller),8,Midsize,50,0.23331839008127214,0.2587755102040816,0.050455779202530235,0.04952528780193228,-0.018441720954560033,0.0545,0.5224555020515532
Airside economizer (water-cooled chiller),0A,Midsize,50,0.5524655643496571,0.5261464585834333,5.042398350692022,5.036378182258255,-0.0011939097261010004,0.1235,0.5645494723584875
Airside economizer (water-cooled chiller),0B,Midsize,50,0.24359745323072013,0.2285234093637455,2.934111399895142,2.9334461246515264,-0.0002267382361962699,0.018,0.9439654142253592
Airside economizer (water-cooled chiller),1A,Midsize,50,0.3949693232201702,0.4272268907563025,2.771079488289666,2.752891670989871,-0.006563441206452133,0.056,0.6437723341090871
