Case,Climate Zone,Cooling system,Data center size,type,n,PUE_5th,PUE_95th,WUE_5th,WUE_95th,PUE_median,WUE_median,pearson,spearman
0,5C,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.0837571,1.179603585,0.0,0.024411267600953516,1.1322832,0.0069521348923444505,-0.04049179034340503,-0.0511527392272478
0,6A,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.0886251150000001,1.20679552,0.008207139046862644,0.02701488779857746,1.1536506499999999,0.016520560719072798,0.2913602003937863,0.38410564225690275
0,6B,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.08026557,1.19156546,0.00715330634266134,0.026958208717405764,1.1200363,0.014482785016298249,0.2630945241629633,0.2103721488595438
0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.083785655,1.19507153,0.011808571033179692,0.03821629602462048,1.1494713,0.02057421486824745,-0.2064518963458755,-0.28067226890756297
0,8,Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,50,1.06926955,1.179541475,0.01619229475036258,0.03485765103250737,1.1202589,0.0234845262020826,-0.2189114920275644,-0.2546458583433373
1,0A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.197159765,1.4502526499999997,1.1337373495101928,2.9752012610435483,1.29427265,2.3759154081344604,0.34148165397929414,0.36028811524609844
1,0B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.125556285,1.236865545,0.6990531980991364,1.3333409190177914,1.1674428,0.9599629938602448,0.026681978421068092,0.09983193277310923
1,1A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.122759745,1.264038585,0.7225739091634751,2.0689196825027465,1.1973148999999998,1.3681568503379822,0.4044267720832021,0.4156062424969988
1,1B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.143031625,1.27825298,0.8832408368587494,1.6521611869335173,1.2099042,1.3065118193626404,0.21536818584137313,0.24139255702280912
1,2A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.12918565,1.28438791,0.6261656224727631,1.9905130624771115,1.2177381999999999,1.4594900012016296,0.25020730452211676,0.2689555822328931
1,2B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.103216865,1.21441768,0.41096151322126384,0.9344835221767422,1.15523995,0.6406848132610321,0.29922142833189525,0.34444177671068427
1,3A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.09399387,1.219454945,0.3843331456184387,1.1303755283355714,1.1621609,0.7848113179206848,0.051964105019895186,0.06362545018007203
1,3B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.06605012,1.2085548149999998,0.11572213098406789,0.7281966030597686,1.1320259,0.3675552010536194,0.5076803730475631,0.4999279711884754
1,3C,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.071867265,1.195249405,0.03857690803706646,0.8099680095911024,1.13120085,0.41805489361286163,0.3351457139429434,0.28924746807768026
1,4A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.087882105,1.20945969,0.28253226876258847,1.0221138328313826,1.14972425,0.5403822958469391,0.25448283510380953,0.16024009603841535
1,4B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.051595455,1.18318144,0.04591235276311634,0.40319772511720653,1.11912805,0.1921429485082626,0.22891909255997245,0.24993997599039616
1,4C,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.06427004,1.17491995,0.016569294361397577,0.5979098737239836,1.12601855,0.10319399461150165,0.1204209025009066,0.06324129651860745
1,5A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.0585859,1.179888275,0.10893043167889116,0.6914192229509352,1.132972,0.31539520621299744,0.1737033430293293,0.20326530612244897
1,5B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.0716256300000002,1.182413005,0.017996993847191303,0.34595244228839866,1.1241590000000001,0.1433178931474685,0.3372991983411456,0.4179513057745395
1,5C,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.060248925,1.1798809,0.0,0.4349611610174176,1.1238711,0.09178127348423,0.3414999001225085,0.30907781871111695
1,6A,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.07290603,1.18689074,0.16900522038340565,0.6155020803213117,1.131275,0.31774894893169403,0.3995950612506037,0.40657863145258105
1,6B,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.0716541849999999,1.18795717,0.0,0.4801763176918029,1.11163555,0.0739406421780586,0.2224353458826815,0.2866755789826689
1,7,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.073100795,1.18937904,0.11447604633867739,0.5917162686586379,1.12729875,0.2370885983109474,0.3025372003788537,0.2740456182472989
1,8,Airside economizer& adiabatic cooling (water-cooled chiller),Large-scale,Cluster 2,50,1.06788182,1.1746937149999999,0.0,0.24668914526700966,1.1268307,0.056739201769232694,0.1731147121536494,0.1369910363094551
2,0A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.16153112,1.257577075,1.9573618590831758,2.505723512172699,1.2085286499999999,2.2325894832611084,0.14792372801542525,0.1295078031212485
2,0B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.06763356,1.1584428800000002,1.8984808027744295,2.4824164152145385,1.1258697500000001,2.215136766433716,0.11116144385034576,0.11385354141656662
2,1A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.0971781,1.215968965,1.961275619268417,2.5440279841423035,1.1429056,2.2161537408828735,0.17892384941026873,0.10847539015606242
2,1B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.10906997,1.213752175,1.8898951053619384,2.5661863803863527,1.16290965,2.2020654678344727,0.14343573663774245,0.08225690276110444
2,2A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.10375955,1.2027613099999999,1.916299968957901,2.6056615591049193,1.1455132,2.209459900856018,0.5908722042554334,0.5479471788715485
2,2B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.0774085150000001,1.16995921,1.861440324783325,2.522195017337799,1.1234057499999999,2.185233116149903,0.4431502341573455,0.42213685474189677
2,3A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.07450892,1.18991859,1.8774830222129824,2.555567991733551,1.1300382,2.2034201622009277,0.30616162994953916,0.35193277310924365
2,3B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.066895205,1.164655105,1.8917083263397219,2.5021436333656313,1.1175966000000002,2.1892054080963135,0.3193993420459868,0.3174549819927971
2,3C,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.064726225,1.1676098,1.9660497605800629,2.6171033501625063,1.112667,2.1839656829833984,0.14466015671910476,0.006002400960384154
2,4A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.071453655,1.17020217,1.8846427738666534,2.556301724910736,1.11941655,2.166113495826721,0.28294991090906163,0.22967587034813922
2,4B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.0622436,1.164119185,1.9107631623744967,2.533497679233551,1.11185625,2.189416766166687,0.326597867477389,0.29373349339735894
2,4C,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.06443348,1.16255719,1.9110756635665898,2.604256701469421,1.1102832500000002,2.1626923084259033,0.40177614897706293,0.40052821128451377
2,5A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.063976365,1.160147735,1.9072890758514405,2.507211077213287,1.1151984000000001,2.195825457572937,0.26552862993269477,0.2629051620648259
2,5B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.065990415,1.161221775,1.874289029836655,2.5514143347740177,1.1130095999999998,2.191349983215332,0.02717998524737549,-0.01781512605042017
2,5C,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.055654515,1.156098285,1.8984759986400603,2.5057167172431947,1.1165239,2.183221697807312,0.20832720041965144,0.1936614645858343
2,6A,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.065325045,1.164433445,1.8747043430805206,2.4916215538978577,1.1174235000000001,2.184671998023987,0.3273187641772012,0.31082833133253296
2,6B,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.061718795,1.168823555,1.8427741348743438,2.501043128967285,1.1118005000000002,2.2012213468551636,0.44789853666424617,0.44883553421368544
2,7,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.059888285,1.1716095899999999,1.878638368844986,2.485740876197815,1.11472485,2.2009716033935547,0.1126146824224287,0.07188475390156063
2,8,Waterside economizer (water-cooled chiller),Large-scale,Cluster 2,50,1.061574465,1.16036565,1.8590652644634247,2.5348423242568967,1.1119479499999998,2.1695661544799805,0.3510459796140924,0.3406002400960384
3,0A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.52659402,1.76669527,2.516084408760071,3.4196717619895933,1.67221945,3.080438017845154,0.5524655643496571,0.5261464585834333
3,0B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.413843745,1.64844335,1.576562625169754,2.354759502410889,1.5040727,1.920939028263092,0.24359745323072013,0.2285234093637455
3,1A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.410377795,1.6809956099999999,1.2986280918121338,2.2224488615989686,1.534042,1.7982460260391235,0.3949693232201702,0.4272268907563025
3,1B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.428594145,1.63491922,1.4733983218669893,2.2571564078330995,1.550687,1.823728084564209,0.36797834408249724,0.38141656662665063
3,2A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.4192305200000002,1.6694759000000001,1.5101521492004395,2.532998478412628,1.5550191,2.016357898712158,0.2945635936004658,0.2801920768307323
3,2B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.39851167,1.59232771,1.2256481349468233,2.052845811843872,1.46752665,1.5481407046318054,0.23281306995037257,0.21296518607442977
3,3A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.35715207,1.5996609849999999,1.099388736486435,1.771607947349548,1.4686911999999999,1.394561529159546,0.10066880566097217,0.05546218487394958
3,3B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.3555608749999999,1.5546571299999998,0.9440133720636368,1.842324334383011,1.4355944,1.36496102809906,0.0891193817714339,0.0012965186074429772
3,3C,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.32517217,1.557660405,0.683777466416359,1.596073949337005,1.4564620499999998,0.9987408220767977,0.051849568300142236,-0.046242496998799516
3,4A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.342775615,1.550294405,0.8202865481376648,1.7248851418495177,1.4489003,1.1919376254081726,0.3535367025364354,0.4161824729891957
3,4B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.339499005,1.573845785,0.8740001916885376,1.6701315522193907,1.42775765,1.305634319782257,0.05588695893855066,0.030684273709483793
3,4C,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.308642485,1.515014305,0.220270550251007,0.9310903578996653,1.4072453500000002,0.4801132380962372,0.3202401190467246,0.23447779111644657
3,5A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.33046982,1.558864375,0.7855643689632416,1.583014494180679,1.4128462499999999,1.1372420191764832,0.10829602150377499,0.0857142857142857
3,5B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.3184077299999999,1.537025215,0.8005810469388962,1.6202027261257168,1.4307446499999998,1.153638780117035,0.18064800300720113,0.1415126050420168
3,5C,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.3045325399999999,1.4967773899999999,0.1363903239369392,1.0316063851118085,1.39180685,0.4344540685415268,-0.22967629381243795,-0.17483793517406962
3,6A,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.338157345,1.5426909,1.0158891379833221,1.8377923250198362,1.4311004,1.3188215494155884,-0.015747841685013163,-0.09339735894357742
3,6B,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.2796507350000002,1.54382844,0.7536384493112565,1.5121817946434017,1.40289065,1.067227303981781,0.23742066305515003,0.18271308523409363
3,7,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.305434575,1.523234505,1.165928739309311,1.732911616563797,1.43288405,1.5208739638328552,0.4649731851585434,0.4624729891956783
3,8,Airside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.3068071,1.520875315,1.16326847076416,1.952497798204422,1.40851335,1.5093034505844116,0.2078310304685965,0.1884753901560624
4,0A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.38091511,1.588681335,2.110797166824341,2.9885918617248537,1.50959405,2.507885456085205,0.4044862731351417,0.3783433373349339
4,0B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.27860828,1.47148434,2.193389344215393,2.8509145379066467,1.3713272,2.5066964626312256,0.3967546793189331,0.3879471788715486
4,1A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.297579695,1.517432585,2.137964689731598,2.8762770056724545,1.4147248499999998,2.553314685821533,0.3138285821962812,0.2921008403361345
4,1B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.31804217,1.531368615,2.1502047896385195,2.844571220874786,1.4403553,2.5561463832855225,0.29609637489174745,0.26482593037214885
4,2A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.3109513,1.524000475,2.1996199131011966,3.0012571692466734,1.4166153,2.454427480697632,0.3613180573197079,0.301704681872749
4,2B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.27737532,1.492230725,2.2039029121398928,2.8895206928253176,1.36989685,2.527234435081482,0.17236302380296628,0.10981992797118847
4,3A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.292938405,1.499480795,2.109033691883087,2.8656646013259883,1.38493565,2.460790514945984,0.17526196410716402,0.09080432172869149
4,3B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.25799659,1.4929022749999998,2.0877068042755127,2.8870668172836305,1.35950625,2.4971641302108765,0.5040294610439431,0.49800720288115247
4,3C,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.259369835,1.49263632,2.113739156723023,2.849998950958252,1.3560503000000002,2.550572156906128,0.299465069448889,0.287875150060024
4,4A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.276851355,1.46694786,2.2291092634201046,2.8606980204582215,1.3714817,2.492989420890808,0.19570077737180055,0.18981992797118846
4,4B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.26167945,1.4879664549999998,2.135735499858856,2.9085331678390505,1.37052255,2.496849775314331,0.6340524287472055,0.617671068427371
4,4C,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.252793145,1.4506944099999999,2.1826199531555175,2.9408119320869446,1.3760145,2.461013078689575,0.2755192457097041,0.26818727490996397
4,5A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.259350835,1.48233182,2.1120534539222717,2.9028809189796445,1.3603121,2.421435594558716,0.47051833493450945,0.45815126050420163
4,5B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.26063687,1.49392959,2.1703221797943115,2.889190912246704,1.3557131500000001,2.456713557243347,0.35738441812344307,0.36211284513805525
4,5C,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.258224915,1.4826682949999999,2.155862879753113,2.9350870013236996,1.36335005,2.507843852043152,0.5233153729541127,0.48062424969987994
4,6A,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.259558245,1.49499499,2.1429510474205014,2.8456875681877136,1.3660499000000002,2.5236560106277466,0.2884440005812699,0.2582953181272509
4,6B,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.26725194,1.463373965,2.1143622636795047,2.9212450504302976,1.3619552000000001,2.511467933654785,0.3165384333146016,0.28412965186074424
4,7,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.24799868,1.48089115,2.124310398101807,2.8898568511009217,1.3697851,2.4940531253814697,0.20379129009234334,0.20662665066026412
4,8,Waterside economizer (water-cooled chiller),Midsize,Cluster 2,50,1.26380307,1.469860805,2.1335988998413087,2.8962438464164735,1.3645958500000002,2.485929489135742,0.22785225898812794,0.21853541416566627
5,0A,Water-cooled chiller,Midsize,Cluster 2,50,1.588902125,1.76809743,2.886139976978302,3.84510338306427,1.68864285,3.2657638788223267,0.27146225719058814,0.3168787515006002
5,0B,Water-cooled chiller,Midsize,Cluster 2,50,1.442968485,1.682134695,2.5712360024452208,3.500794780254364,1.57549955,2.969205021858215,0.4573595806666034,0.4537334933973589
5,1A,Water-cooled chiller,Midsize,Cluster 2,50,1.51261849,1.734853915,2.8319628119468687,3.5792683601379394,1.62363675,3.1154268980026245,0.2115436637868205,0.23140456182472988
5,1B,Water-cooled chiller,Midsize,Cluster 2,50,1.501557925,1.705307495,2.6953180909156798,3.5503578186035156,1.62087075,3.128711223602295,0.38568874238205025,0.39294117647058824
5,2A,Water-cooled chiller,Midsize,Cluster 2,50,1.4924164999999998,1.74027259,2.7278199434280395,3.5689897179603576,1.6118112,3.1228083372116084,0.28467470642014603,0.24782713085234095
5,2B,Water-cooled chiller,Midsize,Cluster 2,50,1.42626704,1.69134246,2.5758235335350035,3.41712681055069,1.5576458,2.955283761024475,0.3075847017019335,0.2569507803121248
5,3A,Water-cooled chiller,Midsize,Cluster 2,50,1.441378495,1.69080329,2.5775344371795654,3.359647762775421,1.5607308,2.984017252922058,0.2755627973388338,0.22372148859543817
5,3B,Water-cooled chiller,Midsize,Cluster 2,50,1.431348275,1.6592011899999999,2.520328187942505,3.386250841617584,1.5526298,2.9213216304779053,0.34434738218086147,0.38506602641056425
5,3C,Water-cooled chiller,Midsize,Cluster 2,50,1.44091065,1.66592236,2.467451786994934,3.4479207396507263,1.54000425,2.919640302658081,0.46135391799029896,0.37623049219687876
5,4A,Water-cooled chiller,Midsize,Cluster 2,50,1.424873405,1.6308928649999999,2.5631730556488037,3.395387399196625,1.5147351,2.859428644180298,0.47298596666582227,0.47851140456182467
5,4B,Water-cooled chiller,Midsize,Cluster 2,50,1.39482809,1.6272828,2.502489674091339,3.316336762905121,1.506941,2.9164202213287354,0.47240330131684244,0.48398559423769505
5,4C,Water-cooled chiller,Midsize,Cluster 2,50,1.39724891,1.634444045,2.4685684919357302,3.3903138041496277,1.5095241499999998,2.8373465538024902,0.5407918284879342,0.5274909963985595
5,5A,Water-cooled chiller,Midsize,Cluster 2,50,1.39538048,1.6353239599999998,2.462368595600128,3.4218917727470397,1.49571735,2.8389405012130737,0.42613183456417403,0.3631692677070828
5,5B,Water-cooled chiller,Midsize,Cluster 2,50,1.38862756,1.610580435,2.507060241699219,3.25511656999588,1.4974956,2.8370859622955322,0.3899409000248491,0.37795918367346937
5,5C,Water-cooled chiller,Midsize,Cluster 2,50,1.392359985,1.60472824,2.4525045871734616,3.257205522060394,1.5105279999999999,2.836455225944519,0.40578739651056944,0.45066026410564225
5,6A,Water-cooled chiller,Midsize,Cluster 2,50,1.3971502199999999,1.60361466,2.495450973510742,3.2669033765792848,1.49233135,2.8321306705474854,0.40284410409143306,0.35855942376950783
5,6B,Water-cooled chiller,Midsize,Cluster 2,50,1.36953587,1.598873735,2.423378872871399,3.23081556558609,1.47614695,2.8561357259750366,0.5787965857195849,0.5703241296518607
5,7,Water-cooled chiller,Midsize,Cluster 2,50,1.39684084,1.603364695,2.4437655448913578,3.264889824390411,1.47965365,2.777334690093994,0.3177819522293862,0.26511404561824725
5,8,Water-cooled chiller,Midsize,Cluster 2,50,1.3521264750000002,1.58120323,2.383224749565125,3.206843113899231,1.4516433,2.7330093383789062,0.3980973913677778,0.3213925570228091
6,0A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.76945212,2.460237609999999,0.02494563320651649,0.08292582444846625,1.98152135,0.060842759907245594,0.0981376498676912,0.0059063625450180065
6,0B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.70146532,2.424059535,0.01690917424857615,0.07390979826450342,1.920518,0.041742870584130246,0.10898333297280195,0.09186074429771908
6,1A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.6311970550000001,2.105223175,0.01341794156469398,0.06192504819482558,1.76501925,0.041530886664986555,-0.10699954345094384,-0.04701080432172868
6,1B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.61544612,2.176984275,0.01444994271732865,0.06330940034240476,1.82057525,0.033702766522765104,0.29612811803132655,0.3333973589435774
6,2A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.612889955,2.03396325,0.01305283838883039,0.06444125492125746,1.7605944500000001,0.03795049525797365,-0.0007184421971858637,0.027803121248499398
6,2B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.594454825,2.1495665600000002,0.01276574963703744,0.06287139263004059,1.7616893999999998,0.03311403095722195,-0.011574948652272002,0.06516206482593037
6,3A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.49016846,1.8940927449999998,0.010388372745364884,0.052584141865372615,1.6348626,0.0256310394033789,0.1601988869533221,0.20710684273709484
6,3B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.49744439,1.891100405,0.00843385113403196,0.05564061179757112,1.6623677,0.02687489520758385,0.36769047632702606,0.4050420168067227
6,3C,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.42242365,1.8249971049999998,0.008676542341709085,0.050164415687322585,1.54834735,0.01927393674850455,0.14460677975379788,0.021464585834333732
6,4A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.435991635,1.74229854,0.007229092251509395,0.055727579258382294,1.5717674499999998,0.0248553920537233,0.259438947803984,0.22285714285714284
6,4B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.45785779,1.782422985,0.00445653559872871,0.046600331179797554,1.5863735499999998,0.02410944551229475,0.1373981403486659,0.230828331332533
6,4C,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.3213101600000001,1.60188029,0.0023898642044514204,0.026093057170510227,1.4442113,0.009106003213673799,0.10962082782780148,0.01944824606193373
6,5A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.34597916,1.6964766599999999,0.005287963594309971,0.04282876029610625,1.49160545,0.020859445445239502,0.15270515375432991,0.142953181272509
6,5B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.34681706,1.79668447,0.006035477947443675,0.04430515281856057,1.57449,0.01938036829233165,0.37802758522610597,0.3801680672268907
6,5C,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.317266405,1.6563196349999998,0.000836504000471855,0.02767188511788839,1.45899245,0.009393678046762902,0.3906694132054139,0.4056279863830969
6,6A,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.39336535,1.702724795,0.01072167139500375,0.05796510837972162,1.5348112999999999,0.026204979978501748,0.20632909160734256,0.14737094837935172
6,6B,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.3809268650000002,1.667941015,0.0039298338000662595,0.048576246760785514,1.5007863499999998,0.019957828335463952,0.2089206482546119,0.27289315726290514
6,7,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.38988187,1.66415615,0.011191434971988191,0.053292276151478246,1.5125926,0.0300539201125502,0.005759165835492369,-0.032220888355342134
6,8,Airside economizer (air-cooled chiller),Midsize,Cluster 1,50,1.356429065,1.686679945,0.013461983669549215,0.05424812100827689,1.48423445,0.033326040953397695,0.23331839008127214,0.2587755102040816
7,0A,Air-cooled chiller,Midsize,Cluster 1,50,1.775760465,2.62972017,0.023552292399108398,0.09897201061248771,2.0415981,0.060098012909293105,0.1499251193417735,0.16062424969987996
7,0B,Air-cooled chiller,Midsize,Cluster 1,50,1.821002655,2.796740135,0.02530962955206629,0.09970353282988068,2.1135306,0.060650052502751295,-0.05698796745393294,-0.0534453781512605
7,1A,Air-cooled chiller,Midsize,Cluster 1,50,1.75074837,2.4055052949999998,0.024172287061810422,0.09894123412668697,2.0008803,0.06165049038827415,0.1687839990693263,0.2847058823529412
