workload_family,nodes,resolution_s,n_profiles,PAR_mean,PAR_median,PAR_std,PAR_min,PAR_max
stable_diffusion,2,300.0,6,1.1455626691694893,1.1557223274708468,0.029804116229936,1.0979918674420592,1.1722218843101375
stable_diffusion,4,0.2,5,1.2512546490421868,1.2077775404649014,0.09708887503110568,1.2050112499605334,1.4248181426814512
stable_diffusion,4,1.0,5,1.2499599684981713,1.2074287455295398,0.09793079190409738,1.2015908966406108,1.4249286742320533
stable_diffusion,4,10.0,5,1.2589142752542961,1.2118874013007286,0.11537602436836318,1.1993350898227666,1.4648060079172947
stable_diffusion,4,60.0,5,1.279693649223057,1.2155928090017676,0.16150353417111246,1.191918721245674,1.567409682576083
stable_diffusion,4,300.0,5,1.3350568843607726,1.2562185632568648,0.17123324983328125,1.2179000780839813,1.6268817110587097
stable_diffusion,8,0.2,5,1.3423327747243798,1.266346362606964,0.12276281042221367,1.2323822969405536,1.4764676939239574
stable_diffusion,8,1.0,5,1.341733787045572,1.2663115971195962,0.12250439078197217,1.2321340161412806,1.4752962161304453
stable_diffusion,8,10.0,5,1.3291943084034004,1.2669941084612812,0.10665584628409132,1.2320442661350648,1.462145279156399
stable_diffusion,8,60.0,5,1.3417602683482002,1.294636306241836,0.10408672772516384,1.283467481078019,1.5271428877886863
stable_diffusion,8,300.0,5,1.3229313170621544,1.305980512434022,0.09123464678235059,1.2218955403319882,1.4234553946877824
stable_diffusion,16,0.2,4,1.4443329779062903,1.4373853209151677,0.10467951638723753,1.3311060318895216,1.5714552379053044
stable_diffusion,16,1.0,4,1.4441632813491165,1.437001997013698,0.10470804323108296,1.3310088497951273,1.5716402815739425
stable_diffusion,16,10.0,4,1.4552246407777734,1.4462645850060745,0.11696737104356253,1.3383285113295604,1.590040881769384
stable_diffusion,16,60.0,4,1.3770324316506786,1.3353829586099706,0.1037239953354469,1.3080238176444758,1.5293399917382973
stable_diffusion,16,300.0,4,1.3632038229190906,1.3771804714226974,0.1241461909258946,1.1986589855693606,1.4997953632616072
