profile,mode,aggregation_s,n,mean_W,p95_W,p99_W,max_W,std_W,cv,peak_to_mean,ramp_p95_W_per_s
inference_offline_llama3_70b_000200,offline_inference,10.0,4,2266.4132692255453,2803.4271510710983,2810.044185765137,2811.698444438647,1006.2744949576131,0.4439942655742863,1.2405938857741647,178.93009359819916
inference_offline_llama3_70b_000600,offline_inference,0.2,451,2700.6482840536614,3007.4443754313525,3030.743368920317,3043.0036822405336,254.16708744454155,0.0941133612049022,1.126767858002227,1344.3471438125944
inference_offline_llama3_70b_000600,offline_inference,1.0,91,2692.1777804503963,3004.031214139342,3031.7775579627455,3043.0036822405336,305.4514005787922,0.11345885208505463,1.1303130515145419,856.4695826567279
inference_offline_llama3_70b_000600,offline_inference,10.0,10,2538.5337410612815,2869.678178652512,2871.175528979103,2871.5498665607506,627.4328414441874,0.24716348311442074,1.1311844393134776,115.09607691221456
inference_online_finite_llama3_70b_000000,online_finite,0.2,595,2085.318407385733,2310.767040713878,2329.608875820006,2349.161479919496,474.2845759908508,0.22743988367006235,1.1265241181391243,116.18921084699775
inference_online_finite_llama3_70b_000000,online_finite,1.0,119,2085.3366144497795,2310.324772921595,2321.4221233236312,2329.2543766173776,475.7167772750213,0.22812469410390138,1.1169680522930616,69.56094223003879
inference_online_finite_llama3_70b_000000,online_finite,10.0,12,2029.3466951052926,2304.182558354836,2308.248623726652,2309.265140069606,577.7507453438525,0.28469790141692664,1.1379352506101919,146.54131650202723
inference_online_finite_llama3_70b_000200,online_finite,0.2,182,2474.7866205203227,2802.865598191891,2817.1534956478226,2818.452359841858,326.4866358195672,0.13192516603751622,1.1388668164244722,447.08698339817147
inference_online_finite_llama3_70b_000200,online_finite,1.0,37,2453.224630015959,2800.7113702998067,2813.357878362753,2818.452359841858,384.6981206900095,0.15681324734111562,1.1488765950566553,289.95505254442463
inference_online_finite_llama3_70b_000200,online_finite,10.0,4,2121.6739656880272,2798.255088449736,2814.4129055634335,2818.452359841858,926.9777821889412,0.4369086849252713,1.328409739395504,176.6175839830969
inference_online_finite_llama3_70b_000500,online_finite,0.2,152,2554.865064289166,2785.416904541747,2794.1785883580737,2797.13289442865,335.93197392168736,0.1314871687813199,1.094826076541498,372.4430801222843
inference_online_finite_llama3_70b_000500,online_finite,1.0,31,2528.614448270567,2782.9297051690264,2792.387102602985,2796.242487772013,402.81689011347885,0.1593034044351773,1.1058397968438758,259.4230768484323
inference_online_finite_llama3_70b_000500,online_finite,10.0,4,2121.720900281955,2777.5852299775383,2781.491611165747,2782.468206462799,905.5737840795794,0.42681098346122615,1.3114204634987747,180.73866490840462
inference_online_rate_llama3_70b_000000,online_rate,0.2,900,2069.551538164848,2086.6117109333245,2089.6602610071454,2097.32076344903,54.108371832256466,0.026144974326291228,1.0134179916624866,47.02715034479875
inference_online_rate_llama3_70b_000000,online_rate,1.0,180,2069.439113908695,2086.663877004693,2089.468484272599,2095.989459878107,46.55988959643755,0.02249879654999688,1.0128297304283886,22.399707618462383
inference_online_rate_llama3_70b_000000,online_rate,10.0,18,2073.1494360979946,2086.343449731884,2087.633495800619,2087.956007317803,6.853520559279653,0.0033058497568699617,1.0071420665399196,1.8124503607025417
inference_online_rate_llama3_70b_000000,online_rate,60.0,3,2075.165237215211,2084.749371492191,2085.796978895345,2086.0588807461336,9.976775349065164,0.004807701656786425,1.0052495306569136,0.21274791980248625
inference_online_rate_llama3_70b_000010,online_rate,0.2,900,2280.495791865438,2324.238812587669,2341.68923056069,2436.780433504863,26.050502579231267,0.011423175027182155,1.0685309932151135,117.6446647532895
inference_online_rate_llama3_70b_000010,online_rate,1.0,180,2281.2539152763597,2323.874034325368,2351.1968456912846,2436.780433504863,27.337005756397318,0.011983324422299395,1.0681758909812817,58.02012264722352
inference_online_rate_llama3_70b_000010,online_rate,10.0,18,2271.5423706662264,2312.638532578723,2330.425931964591,2334.8727818110583,22.622639799639924,0.009959153785454098,1.027879916290647,8.141191430134858
inference_online_rate_llama3_70b_000010,online_rate,60.0,3,2258.702132815559,2264.7025098121035,2265.4601602613925,2265.649572873715,6.091280554754089,0.0026968055974521416,1.0030758549156262,0.15153586720698967
inference_online_rate_llama3_70b_000050,online_rate,0.2,900,2845.0148589076894,2901.35675327394,2916.0718371973358,2951.927959706884,77.97715232054871,0.02740834624339612,1.0375791010245348,203.4827688294576
inference_online_rate_llama3_70b_000050,online_rate,1.0,180,2844.7307412156074,2898.1359615541883,2916.2775252308584,2937.1926943489607,84.1569740472318,0.02958345857761917,1.0325028839438921,87.2561533690472
inference_online_rate_llama3_70b_000050,online_rate,10.0,18,2854.9399570267483,2890.891978277977,2891.609823434281,2891.789284723357,33.049064989460256,0.011576098092051963,1.012907216351753,5.821880833528492
inference_online_rate_llama3_70b_000050,online_rate,60.0,3,2860.446752427118,2867.7555364616387,2867.9661769218887,2868.0188370369515,10.91467307292452,0.0038157232130482097,1.0026471685247798,0.33252662981191067
