family,slurmid,n_nodes_from_logs,n_gpu_logs,n_cpu_logs,n_gpu_device_columns,expected_devices,double_count_gpu,E_GPU_Wh,E_CPU_Wh,E_CPU_package_only_Wh,E_compute_native_Wh,gpu_energy_share,cpu_energy_share,core_fraction_of_cpu_energy,mean_GPU_W_all_devices,time_monotonic
training_stable_diffusion,10742971,2,2,2,8,8,False,16994.13418354068,1679.344049090993,1676.682423780508,18673.47823263167,0.9100679569081909,0.08993204309180923,0.0015849196071083204,4863.622099686208,True
training_stable_diffusion,10742974,2,2,2,8,8,False,16961.52416431281,1718.572893188515,1716.3610042407372,18680.097057501327,0.9079997878009743,0.09200021219902557,0.0012870498286948644,4832.1561117218735,True
training_stable_diffusion,10742976,2,2,2,8,8,False,20261.946770016395,2025.2339203401789,2022.79689833119,22287.18069035657,0.9091300982175607,0.09086990178243928,0.0012033286547855466,4829.193249969617,True
training_stable_diffusion,10742977,2,2,2,8,8,False,16921.989076834885,1634.7791992883265,1631.3694405396293,18556.76827612321,0.9119038846116444,0.08809611538835557,0.002085761031325577,4846.752192934786,True
training_stable_diffusion,10742978,2,2,2,8,8,False,13562.347224269215,1325.043049876627,1323.2270905716987,14887.390274145844,0.9109956126979648,0.0890043873020351,0.0013704907965801556,4856.154970640338,True
training_stable_diffusion,10742981,4,4,4,16,16,False,14885.927975671677,2095.6520527816765,2088.8573778466625,16981.580028453354,0.87659263453281,0.12340736546718993,0.003242272459302196,7340.777680337912,True
training_stable_diffusion,10742982,4,4,4,16,16,False,13959.827978707517,1501.497459956983,1498.9234224637426,15461.3254386645,0.9028868859973574,0.09711311400264255,0.0017143135848622715,8912.046356409941,True
training_stable_diffusion,10742983,4,4,4,16,16,False,13939.754266290187,1529.2791384051877,1526.360772724145,15469.033404695376,0.901139321482039,0.0988606785179609,0.0019083276608914362,8948.96406028866,True
training_stable_diffusion,10742986,4,4,4,16,16,False,13946.240905160868,1537.4331237422082,1534.47241178347,15483.674028903077,0.9007061811768763,0.09929381882312373,0.0019257500785020434,8866.621998178178,True
training_stable_diffusion,10742988,4,4,4,16,16,False,13926.79147918088,1444.7674735019293,1442.8813809672777,15371.558952682808,0.9060103482054581,0.09398965179454184,0.0013054644219530197,8974.93900612065,True
training_stable_diffusion,10742992,8,8,8,32,32,False,15269.531890096565,2173.8574869498757,2166.734369095887,17443.389377046442,0.8753764282868999,0.12462357171310011,0.0032767179526489777,14115.134319412942,True
training_stable_diffusion,10742993,8,8,8,32,32,False,15309.203128655367,2121.9652902987946,2114.5481272945444,17431.168418954163,0.8782660324713845,0.12173396752861552,0.003495421455836109,14142.672368225316,True
training_stable_diffusion,10742994,8,8,8,32,32,False,14318.849615891528,1620.040456174754,1617.2397728709343,15938.890072066282,0.8983592678756247,0.10164073212437529,0.0017287736816353567,17073.19317146731,True
training_stable_diffusion,10742995,8,8,8,32,32,False,14266.084455995222,1576.3475943105846,1573.313544790531,15842.432050305808,0.9004983837516187,0.09950161624838127,0.0019247338156915066,17408.347239605362,True
training_stable_diffusion,10742996,8,8,8,32,32,False,14385.329825127472,1671.1850574724035,1667.9521686477858,16056.514882599877,0.8959185682763926,0.10408143172360729,0.0019344888288477474,16795.884340215496,True
training_stable_diffusion,10743000,16,16,16,64,64,False,12421.28264807548,1514.8273779261444,1512.5949883559283,13936.110026001625,0.8913019935190079,0.10869800648099216,0.0014736923841924148,31852.2524760306,True
training_stable_diffusion,10743001,16,16,16,64,64,False,13214.636205856252,1997.2213187772466,1991.5403924564941,15211.857524633499,0.8687062828755119,0.13129371712448812,0.002844415021681374,26281.25132503308,True
training_stable_diffusion,10743003,16,16,16,64,64,False,12546.27633234214,1567.7232300475275,1564.8236113236433,14113.999562389668,0.8889242398572036,0.11107576014279635,0.0018495731059597624,30377.047377377374,True
training_stable_diffusion,10743005,16,16,16,64,64,False,13028.281772477429,1849.876057632667,1844.5793120432534,14878.157830110094,0.8756649795790626,0.1243350204209373,0.002863297553130075,28126.698128368367,True
