profile_id,dataset,request_rate,num_prompts,duration_s,mean_compute_W,max_compute_W,energy_compute_Wh,peak_to_mean
online_rate_000058,likaixin/InstructCoder,59.0,17700.0,179.908,2834.114660193943,2990.2370183142334,141.63330563504775,1.055086817874054
online_rate_000059,likaixin/InstructCoder,60.0,18000.0,179.817,2834.641135710948,2976.6502801549723,141.58796252781545,1.050097750524744
online_rate_000060,likaixin/InstructCoder,61.0,18300.0,179.924,2833.756220864681,3016.0726112971665,141.6279873007936,1.0643373586937743
online_rate_000061,likaixin/InstructCoder,62.0,18600.0,179.932,2835.581831956349,3000.224685837732,141.72553060765827,1.0580631643304723
online_rate_000062,likaixin/InstructCoder,63.0,18900.0,179.891,2827.0064622505856,2983.454701302488,141.2647276390889,1.0553406018489797
online_rate_000063,likaixin/InstructCoder,64.0,19200.0,179.863,2829.835113373625,2986.755018681989,141.3840647213112,1.0554519606343034
online_rate_000064,likaixin/InstructCoder,65.0,19500.0,179.962,2829.942805150164,3002.869216262626,141.46726863900938,1.0611059738726014
online_rate_000065,likaixin/InstructCoder,66.0,19800.0,179.966,2825.686150799253,2994.537064849161,141.257620504094,1.0597557212792894
online_rate_000066,likaixin/InstructCoder,67.0,20100.0,179.87,2838.503087768883,2999.68917209923,141.8226528880525,1.0567855941481614
online_rate_000067,likaixin/InstructCoder,68.0,20400.0,179.909,2827.128264215535,2975.948497348272,141.28494969076465,1.0526400712045625
online_rate_000068,likaixin/InstructCoder,69.0,20700.0,179.807,2833.367648656248,2989.877055085285,141.51648244498165,1.0552379450309821
online_rate_000069,likaixin/InstructCoder,70.0,21000.0,179.903,2832.102699725467,2971.9191468332697,141.52882555241965,1.049368424076343
online_rate_000070,likaixin/InstructCoder,71.0,21300.0,179.909,2830.872601862507,3002.9063207382023,141.47207192457827,1.060770561968246
online_rate_000071,likaixin/InstructCoder,72.0,21600.0,179.983,2831.228996367238,2998.770131319964,141.54808012587904,1.059176115802607
online_rate_000072,likaixin/InstructCoder,73.0,21900.0,179.966,2831.4579139185453,2993.4541958526074,141.5461541489625,1.0572130283617285
online_rate_000073,likaixin/InstructCoder,74.0,22200.0,179.953,2819.1018280788844,2998.3284799751355,140.91828646341096,1.0635757992531925
online_rate_000074,likaixin/InstructCoder,75.0,22500.0,179.959,2823.881269411438,2998.500428563332,141.16190260055916,1.0618365796902958
online_rate_000075,likaixin/InstructCoder,76.0,22800.0,179.856,2834.5124771274886,2996.615542391778,141.61224335728932,1.0571890462900928
online_rate_000076,likaixin/InstructCoder,77.0,23100.0,179.896,2837.6831876994183,3005.066248961424,141.80218187065958,1.0589858170170532
online_rate_000077,likaixin/InstructCoder,78.0,23400.0,179.817,2830.655650352477,3034.080486239406,141.38889085539762,1.0718649178898176
online_rate_000078,likaixin/InstructCoder,79.0,23700.0,179.909,2828.531189834049,2999.352076542013,141.3550605088483,1.0603920817001795
online_rate_000079,likaixin/InstructCoder,80.0,24000.0,179.906,2832.2646253469,3006.813319332974,141.5392776910165,1.0616286671887853
online_rate_000080,likaixin/InstructCoder,81.0,24300.0,179.964,2831.123440170642,3013.5518611311654,141.52786077413037,1.064436759758355
online_rate_000081,likaixin/InstructCoder,82.0,24600.0,179.864,2833.0329170125738,3015.55172877906,141.54462016265265,1.064425235114794
online_rate_000082,likaixin/InstructCoder,83.0,24900.0,179.856,2826.5724886428234,2994.641531557253,141.21556153259544,1.0594603689060627
online_rate_000083,likaixin/InstructCoder,84.0,25200.0,179.962,2834.402020692585,3000.795937347648,141.69018234663304,1.0587051220822952
online_rate_000084,likaixin/InstructCoder,85.0,25500.0,179.953,2828.3177545618587,2991.8270982268027,141.3789624685195,1.0578115183137453
online_rate_000085,likaixin/InstructCoder,86.0,25800.0,179.892,2815.3966951151965,2993.957904981656,140.68537285490638,1.06342310842954
online_rate_000086,likaixin/InstructCoder,87.0,26100.0,179.889,2823.6188942330714,3001.7394673506724,141.09388312908138,1.0630823704577812
online_rate_000087,likaixin/InstructCoder,88.0,26400.0,179.993,2822.449137553508,3001.82675808828,141.11696878213016,1.0635538894742513
online_rate_000088,likaixin/InstructCoder,89.0,26700.0,179.899,2810.895913182964,2992.453950089513,140.465934412695,1.0645908075268995
online_rate_000089,likaixin/InstructCoder,90.0,27000.0,179.869,2803.2320934609825,2990.976604544647,140.05959817187042,1.066974301386464
online_rate_000090,likaixin/InstructCoder,91.0,27300.0,179.887,2798.597910732919,3008.0768395007294,139.84205065778127,1.0748513846753178
online_rate_000091,likaixin/InstructCoder,92.0,27600.0,179.889,2802.9224608991262,2997.195831452088,140.05969960241194,1.0693110042332896
online_rate_000092,likaixin/InstructCoder,93.0,27900.0,179.905,2804.237689894717,2995.321982512229,140.13788377791917,1.0681412611014034
online_rate_000093,likaixin/InstructCoder,94.0,28200.0,179.857,2799.252853638624,2993.649299079612,139.85145013802278,1.0694458327293659
online_rate_000094,likaixin/InstructCoder,95.0,28500.0,179.899,2800.66957802064,2976.1032510297896,139.9549045600931,1.0626399038236907
online_rate_000095,likaixin/InstructCoder,96.0,28800.0,179.883,2814.5343572590937,3009.9691940796192,140.63524549634377,1.0694377158042043
online_rate_000096,likaixin/InstructCoder,97.0,29100.0,179.892,2816.956570943107,3004.25671359426,140.76331985002707,1.0664902485835788
