profile_id,mode,workload_family,nodes,repeat,duration_s,energy_compute_Wh,mean_compute_W,p_compute_W_per_node,peak_to_mean,cv,slurm_job_id,aggregation_source
offline_000981,offline_inference,llama3_70b_offline_inference,1,0,54.149281,40.65970650642725,2703.1742752620867,2703.1742752620867,1.133273525162353,,,source_metadata_mean_times_elapsed
offline_000982,offline_inference,llama3_70b_offline_inference,1,1,49.057219,36.72621119472498,2695.1050833315667,2695.1050833315667,1.1329375698994548,,,source_metadata_mean_times_elapsed
offline_000983,offline_inference,llama3_70b_offline_inference,1,2,50.112797,37.15682923779936,2669.2699921754056,2669.2699921754056,1.1434387862721231,,,source_metadata_mean_times_elapsed
offline_000984,offline_inference,llama3_70b_offline_inference,1,0,34.763287,27.090898101020557,2805.46638652651,2805.46638652651,1.0898908273801695,,,source_metadata_mean_times_elapsed
offline_000985,offline_inference,llama3_70b_offline_inference,1,1,31.098403,23.8461045354496,2760.462533321038,2760.462533321038,1.0475143828123217,,,source_metadata_mean_times_elapsed
offline_000986,offline_inference,llama3_70b_offline_inference,1,2,31.481564,24.03082497455038,2747.988311774516,2747.988311774516,1.0556486268694765,,,source_metadata_mean_times_elapsed
offline_000987,offline_inference,llama3_70b_offline_inference,1,0,24.713059,19.233383137167767,2801.764819717541,2801.764819717541,1.0915016151584598,,,source_metadata_mean_times_elapsed
offline_000988,offline_inference,llama3_70b_offline_inference,1,1,21.872113,16.97602487873752,2794.137428032448,2794.137428032448,1.0390326631597542,,,source_metadata_mean_times_elapsed
offline_000989,offline_inference,llama3_70b_offline_inference,1,2,22.277886,17.138384930196295,2769.481168397516,2769.481168397516,1.0451427320370978,,,source_metadata_mean_times_elapsed
offline_000990,offline_inference,llama3_70b_offline_inference,1,0,28.845467,22.583555793549305,2818.4948732768826,2818.4948732768826,1.087264098855476,,,source_metadata_mean_times_elapsed
offline_000991,offline_inference,llama3_70b_offline_inference,1,1,25.364998,19.6654804431355,2791.079644291232,2791.079644291232,1.0351857479653321,,,source_metadata_mean_times_elapsed
offline_000992,offline_inference,llama3_70b_offline_inference,1,2,24.90512,19.452006617342985,2811.7601449996923,2811.7601449996923,1.0278358962358025,,,source_metadata_mean_times_elapsed
offline_000993,offline_inference,llama3_70b_offline_inference,1,0,22.300792,17.19777226103935,2776.223379857615,2776.223379857615,1.104880436066862,,,source_metadata_mean_times_elapsed
offline_000994,offline_inference,llama3_70b_offline_inference,1,1,19.505305,15.078837704636896,2783.028295978598,2783.028295978598,1.0380823225721754,,,source_metadata_mean_times_elapsed
offline_000995,offline_inference,llama3_70b_offline_inference,1,2,19.500344,15.060780608932031,2780.4027555696102,2780.4027555696102,1.0460621483527623,,,source_metadata_mean_times_elapsed
offline_000996,offline_inference,llama3_70b_offline_inference,1,0,13.505209,9.506412234015981,2534.065488542793,2534.065488542793,1.207427742825256,,,source_metadata_mean_times_elapsed
offline_000997,offline_inference,llama3_70b_offline_inference,1,1,12.196816,8.405198588507139,2480.870000713768,2480.870000713768,1.0627279118409376,,,source_metadata_mean_times_elapsed
offline_000998,offline_inference,llama3_70b_offline_inference,1,2,12.603352,8.563251143220524,2445.992472129152,2445.992472129152,1.0760772062287518,,,source_metadata_mean_times_elapsed
