source_id,title,issuer,publication_date,url,local_path,sha256,download_status,bytes,source_tier,site_scope,building_scope,temporal_scope,quantity,measurement_boundary,design_vs_observed,limitations
ITNEWS_MCCAMMON_FC,Running Facebook's Forest City data centre,iTnews / Keven McCammon,circa_2013,https://www.itnews.com.au/news/running-facebooks-forest-city-data-centre-330872,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/itnews_mccammon_forest_city.html,fc2b00a4f094ba705e86f808597ff410d61ae6e7f3ced068743bcd097c040758,downloaded,113789,OPERATOR_INTERVIEW,FOREST_CITY,operating campus,second hottest NC summer; later membrane vs misters,DX/chillers unused that summer; membrane later water efficiency,qualitative operations,OPERATOR_OBSERVED,Membrane retrofit timing vs 2012 misting is not a 2012 controller parameter. Do not fit.
AIWIRE_2014_COLD_STORAGE,Open Compute in Full Bloom: Facebook North Carolina Datacenter,EnterpriseTech / AIwire,2014-04-22,https://www.hpcwire.com/aiwire/2014/04/22/open-compute-full-bloom-facebook-north-carolina-datacenter/,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/aiwire_2014_cold_storage.html,e2dafef5106ee96e153d5f12bfbc6eb99b04f72af6db39fd6346171cc04557c6,downloaded,204131,SECONDARY_SITE_TOUR,FOREST_CITY_CAMPUS,B1 and B3 ~350k; B2 pad; B4 cold storage 90k / 3 halls,2014 tour,building identities and areas; cold storage architecture,journalism/tour,OBSERVED_CAMPUS_TOUR,"Building numbering (B2 empty pad, B3 as second large hall) must not be overwritten by later marketing names without evidence."
ENR_2014_FRC4,Facebook's Latest North Carolina Data Center Goes for Gold,ENR,2014-11-03,https://www.enr.com/articles/12214-facebooks-latest-north-carolina-data-center-goes-for-gold,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/enr_2014_frc4.html,8dcc5a4bf845e88aa04face312540d035a38b764d7e06e64615c5658023b9443,downloaded,75424,SECONDARY_ENGINEERING,FOREST_CITY,FRC4 cold storage; third FB facility by DPR/Fortis,2014,three 25000-sqft halls; 14 AHUs; LEED Gold seek,construction award writeup,DESIGN_CONSTRUCTION,Does not give CFM or DeltaT. Permit-level capacities are not measured load.
CHARLOTTE_OBSERVER_COLD_STORAGE,A peek inside the N.C. data center where your old Facebook photos go to sleep,Charlotte Observer,2014,https://www.charlotteobserver.com/news/local/article9113354.html,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/charlotte_observer_cold_storage.html,,error:TimeoutError,0,SECONDARY_SITE_TOUR,FOREST_CITY,original ~350k opened 2012; second same size; cold storage 90k,2014 media tour,160-acre campus; cold storage energy-saving disks,press tour,OBSERVED_CAMPUS_TOUR,Paywall possible; qualitative.
META_FC_FACTSHEET_2025,Meta's Forest City Data Center,Meta Data Centers,2025-02,https://datacenters.atmeta.com/wp-content/uploads/2025/02/Meta_s-Forest-City-Data-Center.pdf,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/meta_forest_city_factsheet_2025.pdf,3d151bc68e3d29fecd086d4c5384e706009787a11addca7d4679461aaa5cb81c,downloaded,1657953,PRIMARY_OPERATOR_COMMUNITY,FOREST_CITY_CAMPUS,current campus marketing,circa 2025,renewable matching; water-efficiency qualitative; 310 MW NC renewables,community factsheet not EDI,OPERATOR_CLAIM_QUALITATIVE,No 2012 controller parameters. Do not treat later campus as 2012 Building 1.
META_EDI_2025,Meta 2025 Environmental Data Index (FY2024),Meta Sustainability,2025-10,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sustainability/Meta_2025-Environmental-Data-Index.pdf,d7527cd23308869105b404b486117603bb3f5ee10e30499367f8698110afb66d,downloaded,2266742,PRIMARY_OPERATOR_DISCLOSURE,FOREST_CITY_FACILITY_ROW,whole-site as reported by Meta; architecture mix unidentified,2020-2024,electricity MWh; water withdrawal ML; location-based Scope 2 tCO2e,Meta site reporting; not ISO WUE,REPORTED_ANNUAL,Site total; later years include unidentified later buildings/cold storage. 2020 electricity rounded. Do not fit 2012 controller to these.
TOWN_FC_WATER_TREATMENT,"Water Treatment | Town of Forest City, NC",Town of Forest City,undated_page,https://www.townofforestcity.com/water-treatment,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/sources/town_forest_city_water_treatment.html,e1c6349dab425252e857925ae447baeda12bbbe4f843fded6bdca8de73e3e9ec,downloaded,106370,GOVERNMENT,MUNICIPAL_PWS,Town WTP not Meta,current page,PWSID NC01-81-010; Second Broad River source,municipal raw/finished water,SYSTEM_DESCRIPTION,Not Meta customer meter. Do not call municipal production Meta consumption.
NC_LWSP_FC_2023,NC DWR Local Water Supply Plan Forest City 2023,NC Division of Water Resources,2023,https://www.ncwater.org/wudc/app/lwsp/report.php?pwsid=01-81-010&year=2023,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/lwsp/lwsp_01-81-010_2023.html,c1ee6473724288749d4111a9c1ae4076e4ece5d4b09aa79800bed345d5a64be5,downloaded,32492,GOVERNMENT,FOREST_CITY_PWS_01-81-010,municipal,2023,raw withdrawal; WTP 8 MGD; metered raw and finished; Second Broad River,municipal LWSP,REPORTED_MUNICIPAL,"Industrial demand is municipal class, not proven Meta-only."
TOWN_FC_PERMIT_PORTAL,Town of Forest City NC Public Permit Portal,Town of Forest City,current,https://twn-forestcity-nc.smartgovcommunity.com/Public/Home,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/permits/town_permit_portal_home.html,5c1c5eb916c64c6a0d28ffa563ac1ca5574915e316e7b7b625437e624107b372,downloaded,18420,GOVERNMENT,TOWN,portal,public portal,permit access path,public records index,PORTAL,Detailed drawings may require login or in-person request. Do not invent permit numbers.
FBPUEWUE_DASHBOARD_LIVE,Facebook PUE/WUE dashboard (fbpuewue.com),Facebook (historical public dashboard),2012-2014,https://www.fbpuewue.com/forestcity,/home/nacevedo/RA/data-center-externalities-modeling/Meta_Forest_City_North_Carolina_v1/data/raw/dashboard/fbpuewue_forestcity_live.html,,error:URLError,0,PRIMARY_OPERATOR_DASHBOARD,FOREST_CITY,dashboard site,historical public,PUE WUE T RH,UNIDENTIFIED_UNTIL_RECOVERY,OBSERVED_IF_RECOVERED,Live site likely dead; Wayback attempted separately.
