SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
43,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,06-06-2024 01:00,37.5
44,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,06-06-2024 02:00,29.5
45,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,06-06-2024 03:00,5.5
46,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,06-06-2024 04:00,0.5
47,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,07-06-2024 05:00,2.5
48,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,07-06-2024 06:00,2
49,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,07-06-2024 07:00,0.5
50,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,07-06-2024 18:00,6.5
51,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,07-06-2024 19:00,2.5
52,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,07-06-2024 20:00,2.5
53,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,08-06-2024 17:00,5.5
54,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,09-06-2024 15:00,10
55,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,09-06-2024 16:00,8
56,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,11-06-2024 16:00,3
57,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,11-06-2024 16:00,3
58,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 02:00,0.5
59,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 02:00,0.5
60,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 03:00,2.5
61,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 03:00,2.5
62,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 04:00,0.5
63,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 04:00,0.5
64,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 06:00,1
65,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 06:00,1
66,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 12:00,2
67,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 12:00,2
68,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 21:00,6
69,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 21:00,6
70,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 22:00,2
71,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 22:00,2
72,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,12-06-2024 23:00,5.5
73,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,13-06-2024 00:00,6.5
74,Kurnool_1,Andhra Pradesh GW,28,Andhra Pradesh,511,KURNOOL,KURNOOL,KURNOOL,Kurnool,Pennar,Pennar,-,-,-,-,15.75064000,78.06679800,13-06-2024 00:00,6.5
