SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry Quadridaily (meter)
113,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-12-2005 21:00,-9.454
114,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2006 03:00,-9.396
115,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2006 09:00,-9.37
116,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2006 15:00,-9.939
117,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-01-2006 21:00,-9.506
118,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-02-2006 03:00,-10.091
119,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-02-2006 09:00,-10.113
120,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-02-2006 15:00,-10.672
121,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-02-2006 21:00,-10.125
122,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2006 03:00,-10.706
123,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2006 09:00,-10.723
124,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2006 15:00,-11.483
125,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-03-2006 21:00,-10.769
126,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2006 03:00,-10.406
127,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2006 09:00,-10.324
128,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2006 15:00,-10.693
129,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-04-2006 21:00,-10.166
130,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-05-2006 03:00,-10.205
131,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,02-05-2006 09:00,-10.207
132,Ravulacheruvu,Andhra Pradesh GW,28,Andhra Pradesh,502,ANANTAPUR,DHARMAVARAM,-,-,-,-,-,-,-,-,14.41710000,77.79050000,,01-07-2007 21:00,-8.592
133,Yellutla,Andhra Pradesh GW,28,Andhra Pradesh,503,CHITTOOR,GURRAMKONDA,-,-,-,-,-,-,-,-,13.83520000,78.58050000,,14-01-2005 21:00,-2.143
134,Yellutla,Andhra Pradesh GW,28,Andhra Pradesh,503,CHITTOOR,GURRAMKONDA,-,-,-,-,-,-,-,-,13.83520000,78.58050000,,15-01-2005 03:00,-2.133
