path,bytes,sha256
outputs/protocol/M0_STATIC_BASELINE_SPEC.md,2141,d1540c2e8d27746fbbf856ff4611e0985e8c7166dd090e4391d077122f498aa9
outputs/protocol/PLANNING_ABLATION_PROTOCOL.md,966,e195245e10ea2ee8533bfc98cf6885261202b59fec6d77dbb97427ef16aae09b
outputs/protocol/SPATIAL_UNIT_DECISION.md,879,c973f18247348133599adc7e6d484e1cc1441d497859d54ea1b5a68976810480
outputs/protocol/STATIC_DYNAMIC_RANKING_PROTOCOL.md,1056,97b76fdad56a88e99708293654a1cc09d2dabb210dce8266645809c24c53e408
outputs/protocol/WATER_COUPLING_INTERFACE.md,873,78ed8e93886eddb2aae6bc1f5400e66a97c55d8b40b533a720565ad2f0f9aeac
outputs/provenance/FROZEN_PARENT_DEPENDENCY_MANIFEST.csv,62777,47f5669c3564abc575802e71c9a4e194b9eeebba3bebbd97fa65104ddcbd6aae
outputs/provenance/FROZEN_PARENT_DEPENDENCY_MANIFEST.json,470,55516e7a85d1a295520ddf24ca1c68afab74619663281fc4c0630c256b1b2c19
outputs/provenance/RAW_DOWNLOAD_MANIFEST.csv,2582,199f7827bb094270a45749ae484a34bb44e921ca26227ee06f00812735f05ea9
outputs/provenance/RAW_DOWNLOAD_MANIFEST.json,3755,b567d1197b34d3dc890872dc7c5b78d30781450aa09a7b5fe29dd7912f17bf2d
outputs/provenance/REPOSITORY_PREFLIGHT.json,630,ba9e47eb3858237ad7c88029230cde081ba90a12764ad85f0ada0cc7da55f3ad
outputs/provenance/REPOSITORY_SOURCE_AUDIT.md,1046,f51a2a8563f8d5978b7dbe09db8dd76c326af9a3c740d5ce8877bd269846bb45
outputs/readiness/AP_GROUNDWATER_COVERAGE_STATUS.json,2078,6741b38fd212e27b64619afd26bc83a2c42a632f75420b1b1b0eae3516e55040
outputs/readiness/AP_PLANNING_READINESS.json,2829,30c5d11cf740171fc3deebdec4d2836484cca02b0ca0ba9ea7b7aa14162581d1
outputs/readiness/M0_REPRODUCTION_STATUS.json,1030,d541d85bdf473a7f12470552e741d1b0a0cdc1b5b9c8f9a53aaeae6110848bf7
outputs/readiness/TRACK_A_WRMS_STATUS.json,618,2ae2dab116a014aec1454c21523fb98e16ad070327d1173963d6c0fe33e63b4b
outputs/tables/AP_CANDIDATE_REGION_CROSSWALK.csv,349,a677503b2c0b514cf77ea7e57239c54f81671603125213bfbb44b042ff16bf51
outputs/tables/AP_CANDIDATE_REGION_EVIDENCE.csv,400,cb7c41a1af1278d682a479b7258bdef806df1e1d714d765accda608099418959
outputs/tables/AP_EXACT_MISSING_DATA.csv,1814,550e93c64c478f05fb2f6325c35b5d7b365c7e4581953b2f47241e01c2f31dda
outputs/tables/AP_GROUNDWATER_COVERAGE_SUMMARY.csv,1870,4024f848ecb0f248e1683122f876f0fd54e7f34f58d979a9d62aa30f148ec378
outputs/tables/AP_GROUNDWATER_COVERAGE_SUMMARY.md,3567,fea5e974497c25fbfe121d4b36a28bb88f241c29f9ab9f7de060e90c1451272d
outputs/tables/AP_GROUNDWATER_DISTRICT_COVERAGE.csv,1093,874a389c72ba46218156c9b700345275c445d758cfdc8aafe098ae5012d6bb18
outputs/tables/AP_GROUNDWATER_MONTHLY_COVERAGE.csv,2500,f8fdacb03b592a3bd29f699bbeb2d9ceb6e1faa36f213a5f340db561eb3042e6
outputs/tables/AP_GROUNDWATER_YEAR_COVERAGE.csv,672,b341bc839229e127c2d4528cb0401648a7e54e70731b344352e33d491962aef3
outputs/tables/AP_GWRA_2024_STATIC_BASELINE.csv,2478,62c0ca8046226a7f6ae3cab83c661f9fe84e930f54f8af22cd74aa105f3f6f27
outputs/tables/AP_SECTOR_BASELINE_COVERAGE.csv,1385,f8e54e09a29313a72ac37539d620981cd003a847b033064bee02e2f0e3a3ed0a
outputs/tables/AP_SPATIAL_UNIT_SCORECARD.csv,931,0a137ccad3d773d7078bb62e516fcfca294d9e713d4b84aab9e5826e8e0e7284
outputs/tables/AP_WATER_SOURCE_FEASIBILITY.csv,1305,ea3cc5761796d192e62b686be2b438c137cf317009da1cf382491281ababf2ba
outputs/tables/F.csv,539,da8ed67e00f817b028aecee11f01c12b86a9272901c8502617050ccd4d71f49c
outputs/tables/M_AG.csv,102,c8a1c07aaeb54cdc28b2ce01d6109d4c38a26019f9769f8924e046821a885e72
outputs/tables/M_GW.csv,100,1323e61b35fc36403e6fc5e3d2b647552df9023b2e5b28bec73d6a03282922b6
outputs/tables/M_MUN.csv,100,dacc7c1d6d0d3e82f8b44961ef694a39de0446aaa07505405d673181dde9a7d1
requests/AP_PLANNING_DATA_ACCESS_REQUEST.md,4749,00b1743eeb8fb3abc6d4a3db2bcbddba8f815921638190fc9ffcfefe94f2dc2a
scripts/run_preflight.py,414,1ac1ed9ce738bf5602b2ce04f2734ca9f348d2edae2039af9bdbadb98a28994d
sources/AP_AUTHORITATIVE_SOURCE_REGISTRY.csv,11374,2fc9e396fd4bf38fd5c985248920371f2fbd7757f30fa770fb2f8a8a962e078a
sources/AP_AUTHORITATIVE_SOURCE_REGISTRY.yaml,16305,28a330ffce51643fefc593e3c084d73aa0528beb822b89bb6b050493bc31d118
src/build_preflight.py,48556,6f4d8f25c9e51115e631222a422be376c36d70958b68cbb44c129d8e657bced3
tests/test_preflight_guards.py,8457,2d6e5e0ae0c83da6b515a28addd3e8da3e214a00c17dfd61aa76be1b883a37bc
