regime,model,site_code,n_transitions,n_wells,MAE_delta_h_ft,RMSE_delta_h_ft,bias_delta_h_ft,sign_accuracy_delta_h,delta_h_IQR_ft,note
T1_TEMPORAL_OOS,B1,337856N1178834W003,7,1,9.824325428267125,10.720587329677798,-3.2346438347675255,0.8571428571428571,21.229999999999997,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337910N1178268W001,15,1,3.727905878706221,4.143671188737648,-3.217346643557197,0.7333333333333333,1.399999999999995,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337959N1180672W001,7,1,2.192092013835094,2.6808839012043517,-1.3289709256560458,0.7142857142857143,2.83,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337959N1180672W002,7,1,10.612433328221343,11.917190522365305,-1.9388577881556721,0.8571428571428571,15.335,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337959N1180672W003,7,1,7.448077797467062,8.869254119816816,-2.5317883925442564,1.0,16.259999999999998,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337995N1178787W001,7,1,5.5070496901465535,6.895501918439273,-2.914517201950464,0.42857142857142855,4.699999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337995N1178787W002,7,1,5.9290862828305535,6.5360169189339326,-3.224379994957041,0.8571428571428571,13.024999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,337995N1178787W003,7,1,8.00552504618452,9.00601056810311,-4.270317703790083,0.8571428571428571,21.310000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338045N1179568W001,13,1,3.661504136880279,3.947217451312385,-1.0124635436891976,0.6153846153846154,4.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338047N1178086W001,25,1,5.540238050308445,10.123522354385535,-4.955028406241404,0.8,0.3800000000000239,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338047N1178086W002,25,1,5.428523269680051,8.648379457375183,-5.291422047122547,0.72,1.1200000000000045,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338161N1180207W001,1,1,1.3929150373325534,1.3929150373325534,1.3929150373325534,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338170N1179764W001,8,1,5.025778750573824,6.059332927631704,-0.44584969266885743,0.75,9.75,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338205N1180164W001,7,1,2.0979427024490036,2.4071348030005946,-1.6781541688589294,0.8571428571428571,3.5649999999999995,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338205N1180164W002,4,1,8.066585687402123,10.7578294590733,5.767238903143388,1.0,10.38,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338205N1180164W003,7,1,6.677588771097363,8.906550490815556,-1.7752726215301036,0.7142857142857143,6.449999999999999,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338229N1179374W001,6,1,3.504724691343128,4.198075285282043,-2.5008907108558813,0.5,1.6374999999999993,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338229N1179374W002,6,1,5.302517211584218,5.82733449957914,-1.8392644907582139,0.6666666666666666,11.577500000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338229N1179374W003,6,1,4.772763077319589,6.564418878479821,-2.3509295305783007,1.0,13.635000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338250N1179465W001,13,1,2.760208079107749,3.824773366339642,-1.7004398471110076,0.9230769230769231,5.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338285N1179436W001,13,1,4.258094835669296,4.9117490161103055,-1.6108075941162332,0.6666666666666666,8.999999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338285N1179891W001,1,1,1.6771228914063498,1.6771228914063498,1.6771228914063498,1.0,0.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338320N1180539W001,12,1,3.6213753920058487,4.815265588518489,-0.7930784632483964,0.6,2.1649999999999983,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338327N1178668W001,6,1,5.308595057899262,6.630238732867885,-3.417432794895572,0.5,7.335000000000001,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338327N1178668W002,6,1,5.338450042244614,5.766978483752819,-1.5342918140412332,0.5,8.752500000000001,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338327N1178668W003,6,1,5.962266490330205,6.350468889630027,-2.4562403056607827,0.5,8.870000000000001,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338349N1180575W001,12,1,3.849364699315815,4.77027340856158,-0.8555784632483965,0.45454545454545453,3.2875,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338366N1179547W001,11,1,2.4173441498403565,2.9269381238074135,-1.1515379274122282,0.9090909090909091,6.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338451N1179506W001,13,1,3.562202555685777,5.347343095279263,-1.7344098743565008,0.8181818181818182,7.000000000000002,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338469N1179285W001,13,1,4.521745801109391,5.437438545117323,-1.5793617539398437,0.6666666666666666,9.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338488N1179110W001,6,1,4.472515803902278,5.152557593713149,-2.9852159775556397,0.5,2.7924999999999915,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338488N1179110W002,6,1,3.3260180582909684,3.9106181580741946,-2.473528205480663,0.8333333333333334,6.769999999999996,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338490N1179163W001,13,1,2.3462184942138435,3.0282200565804067,-0.948436716457932,0.7,3.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338490N1179166W001,13,1,2.377607153151056,2.975665436541025,-0.948436716457932,0.8,5.0,head-level residual equals delta-h residual conditional on observed h_prev
T1_TEMPORAL_OOS,B1,338509N1178361W001,6,1,4.861335194622424,5.917854625260886,-0.31923140698366614,0.3333333333333333,4.090000000000025,head-level residual equals delta-h residual conditional on observed h_prev
