well_node_id,year,n_numeric_observations
SRC-KN,2020,0
SRC-KN,2021,0
SRC-KN,2022,0
SRC-KN,2023,0
SRC-KN,2024,0
SRC-KO,2011,0
SRC-KO,2012,0
SRC-KO,2013,0
SRC-KO,2014,0
SRC-KO,2015,0
SRC-KO,2016,0
SRC-KO,2017,0
SRC-KO,2018,0
SRC-KO,2019,0
SRC-KO,2020,0
SRC-KO,2021,0
SRC-KO,2022,0
SRC-KO,2023,0
SRC-KO,2024,0
SRC-KP,2011,0
SRC-KP,2012,0
SRC-KP,2013,0
SRC-KP,2014,0
SRC-KP,2015,0
SRC-KP,2016,0
SRC-KP,2017,0
SRC-KP,2018,0
SRC-KP,2019,0
SRC-KP,2020,0
SRC-KP,2021,0
SRC-KP,2022,0
SRC-KP,2023,0
SRC-KP,2024,0
SRC-KQ,2011,0
SRC-KQ,2012,0
SRC-KQ,2013,0
SRC-KQ,2014,0
SRC-KQ,2015,0
SRC-KQ,2016,0
SRC-KQ,2017,0
SRC-KQ,2018,0
SRC-KQ,2019,0
SRC-KQ,2020,0
SRC-KQ,2021,0
SRC-KQ,2022,0
SRC-KQ,2023,0
SRC-KQ,2024,0
VITESSE:64500,2011,0
VITESSE:64500,2012,0
VITESSE:64500,2013,0
VITESSE:64500,2014,0
VITESSE:64500,2015,0
VITESSE:64500,2016,0
VITESSE:64500,2017,0
VITESSE:64500,2018,0
VITESSE:64500,2019,0
VITESSE:64500,2020,0
VITESSE:64500,2021,0
VITESSE:64500,2022,0
VITESSE:64500,2023,0
VITESSE:64500,2024,0
VITESSE:64845,2011,0
VITESSE:64845,2012,0
VITESSE:64845,2013,0
VITESSE:64845,2014,0
VITESSE:64845,2015,0
VITESSE:64845,2016,0
VITESSE:64845,2017,0
VITESSE:64845,2018,0
VITESSE:64845,2019,0
VITESSE:64845,2020,0
VITESSE:64845,2021,0
VITESSE:64845,2022,0
VITESSE:64845,2023,0
VITESSE:64845,2024,0
VITESSE:64846,2011,0
VITESSE:64846,2012,0
VITESSE:64846,2013,0
VITESSE:64846,2014,0
VITESSE:64846,2015,0
VITESSE:64846,2016,0
VITESSE:64846,2017,0
VITESSE:64846,2018,0
VITESSE:64846,2019,0
VITESSE:64846,2020,0
VITESSE:64846,2021,0
VITESSE:64846,2022,0
VITESSE:64846,2023,0
VITESSE:64846,2024,0
