fit_id,regime,gap_threshold_days,held_out_spatial_fold,model,target,feature,coefficient_standardized_scale,training_feature_mean,training_feature_scale,n_training_transitions,n_training_wells,fit_split,training_target_month_min,training_target_month_max,training_independence_classes,validation_used,test_used,hyperparameter_search
T2_SPATIOTEMPORAL_OOS_G90_F1_B2,T2_SPATIOTEMPORAL_OOS,90,1,B2,h_target,season_cos,3.767037062293554,-0.015691137865843165,0.7025472597192542,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B2,T2_SPATIOTEMPORAL_OOS,90,1,B2,h_target,time_trend_years,-0.7131957097766647,2.6807793107582474,1.4075531495559217,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,INTERCEPT,43.97367738673142,0.0,1.0,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,h_prev,83.66414093386871,43.95275101132686,85.70188796961199,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,delta_days,-0.4001565402693036,33.28177912059511,20.106330768553768,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,season_sin,0.251702372596544,-0.015210657110465214,0.7113014634904877,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,season_cos,3.6560077817659535,-0.015691137865843165,0.7025472597192542,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,time_trend_years,-0.780689539580825,2.6807793107582474,1.4075531495559217,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,log1p_interval_mean_discharge_cfs,-3.889326557363121,5.707991860689335,0.770692824362145,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
T2_SPATIOTEMPORAL_OOS_G90_F1_B3,T2_SPATIOTEMPORAL_OOS,90,1,B3,h_target,log1p_antecedent_30d_mean_discharge_cfs,4.005770278481548,5.713304763440606,0.7755193363362075,4944,151,TRAIN,1991-10-01,1996-09-01,OCWD_ORIGIN_REPUBLISHED_BY_DWR,False,False,NONE
