regime,site_code,RMSE_improvement_ft
T1_TEMPORAL_OOS,338556N1180264W003,2.9805464249547615
T1_TEMPORAL_OOS,338628N1179046W001,0.5733556409156053
T1_TEMPORAL_OOS,338629N1178426W001,-0.056456589547286384
T1_TEMPORAL_OOS,338638N1178430W001,-0.13720894155921393
T1_TEMPORAL_OOS,338642N1178978W001,-1.977445547865349
T1_TEMPORAL_OOS,338642N1178978W002,0.30196349147872414
T1_TEMPORAL_OOS,338642N1178978W003,0.1301668330960073
T1_TEMPORAL_OOS,338642N1178979W001,0.3101944552677618
T1_TEMPORAL_OOS,338649N1178024W001,-1.7338232291067701
T1_TEMPORAL_OOS,338650N1178151W001,0.17142715938425468
T1_TEMPORAL_OOS,338664N1178426W001,0.001825950701951129
T1_TEMPORAL_OOS,338715N1179765W001,0.10247429784513251
T1_TEMPORAL_OOS,338764N1176943W001,-3.9024448004341767
T1_TEMPORAL_OOS,338774N1176944W001,-3.171857860561661
T1_TEMPORAL_OOS,338942N1178371W001,-0.04855364167531562
T1_TEMPORAL_OOS,338970N1179254W001,-2.9651324526593994
T2_SPATIOTEMPORAL_OOS,336557N1179512W001,0.2666322950051043
T2_SPATIOTEMPORAL_OOS,336632N1178523W001,-0.7283208298520658
T2_SPATIOTEMPORAL_OOS,336669N1177464W001,-2.452704129921636
T2_SPATIOTEMPORAL_OOS,336672N1179322W001,0.3945786960262865
T2_SPATIOTEMPORAL_OOS,336684N1177654W001,0.4047031499252949
T2_SPATIOTEMPORAL_OOS,336716N1177529W001,-1.4675180852596061
T2_SPATIOTEMPORAL_OOS,336716N1177529W002,-1.5029914278344916
T2_SPATIOTEMPORAL_OOS,336726N1177521W001,-1.8468901556708186
T2_SPATIOTEMPORAL_OOS,336726N1178014W001,0.07517153909490304
T2_SPATIOTEMPORAL_OOS,336746N1177574W001,-2.5493222588243736
T2_SPATIOTEMPORAL_OOS,336749N1179628W001,0.48083270422942803
T2_SPATIOTEMPORAL_OOS,336753N1177488W001,-1.9222156100350576
T2_SPATIOTEMPORAL_OOS,336781N1178263W001,-0.05815200278539656
T2_SPATIOTEMPORAL_OOS,336792N1177457W001,-0.34185058337985197
T2_SPATIOTEMPORAL_OOS,336795N1177780W001,1.3124200814907496
T2_SPATIOTEMPORAL_OOS,336798N1177876W001,-1.2352380578697977
T2_SPATIOTEMPORAL_OOS,336798N1177876W002,0.3503995049422848
T2_SPATIOTEMPORAL_OOS,336813N1177975W001,-0.01500058300864282
T2_SPATIOTEMPORAL_OOS,336824N1177430W001,-2.9715227754279594
T2_SPATIOTEMPORAL_OOS,336831N1179773W001,1.3341597706525068
T2_SPATIOTEMPORAL_OOS,336848N1179242W001,0.4012746039706201
T2_SPATIOTEMPORAL_OOS,336853N1177671W001,-1.9117187122964543
T2_SPATIOTEMPORAL_OOS,336853N1179432W001,0.38937977656235745
T2_SPATIOTEMPORAL_OOS,336868N1179445W001,-0.0073173238346999625
T2_SPATIOTEMPORAL_OOS,336870N1178340W001,-0.5346613214168556
T2_SPATIOTEMPORAL_OOS,336870N1179436W001,-0.0073173238346999625
T2_SPATIOTEMPORAL_OOS,336875N1179148W001,-0.9668412501174419
T2_SPATIOTEMPORAL_OOS,336886N1178041W001,-0.40273900927196493
T2_SPATIOTEMPORAL_OOS,336906N1179435W001,-0.1533670674673857
T2_SPATIOTEMPORAL_OOS,336928N1177446W001,-2.739400357275617
T2_SPATIOTEMPORAL_OOS,336941N1179435W001,0.9602579490119396
T2_SPATIOTEMPORAL_OOS,336944N1177985W001,0.03254317474065971
T2_SPATIOTEMPORAL_OOS,336962N1178987W001,-0.20044641828217813
T2_SPATIOTEMPORAL_OOS,336963N1179065W001,-0.23239420653383291
T2_SPATIOTEMPORAL_OOS,336966N1179388W001,-0.23039767194572214
