year,scope,share_mae,share_corr,n_months,peak_month_obs,peak_month_gray,peak_month_error,summer_fraction_obs,summer_fraction_gray,amplitude_obs,amplitude_gray,month,p_obs,p_gray,share_abs_error
2018.0,month,,,,,,,,,,,1.0,0.026403336144691224,0.0,0.026403336144691224
2018.0,month,,,,,,,,,,,2.0,0.03162777621591229,0.0,0.03162777621591229
2018.0,month,,,,,,,,,,,3.0,0.025559928778933563,0.0,0.025559928778933563
2018.0,month,,,,,,,,,,,4.0,0.03413457033080312,0.006837065790434467,0.02729750454036865
2018.0,month,,,,,,,,,,,5.0,0.03954643426108144,0.011353804698009664,0.028192629563071774
2018.0,month,,,,,,,,,,,6.0,0.03514197357323588,0.05855733181634596,0.023415358243110078
2018.0,month,,,,,,,,,,,7.0,0.09293880611001781,0.5479171588814278,0.45497835277140997
2018.0,month,,,,,,,,,,,8.0,0.2943491706494237,0.3323382992629548,0.0379891286135311
2018.0,month,,,,,,,,,,,9.0,0.09715584293880612,0.04275327870190212,0.054402564236904004
2018.0,month,,,,,,,,,,,10.0,0.17976290881829254,0.00024306084892513044,0.1795198479693674
2018.0,month,,,,,,,,,,,11.0,0.09453190891200451,0.0,0.09453190891200451
2018.0,month,,,,,,,,,,,12.0,0.04884734326679787,0.0,0.04884734326679787
2019.0,year,0.07632515934764973,0.8713082666166758,12.0,8.0,8.0,0.0,0.4745095539371146,0.9032652677823071,1.7787056367432152,5.994159936265214,,,,
2019.0,month,,,,,,,,,,,1.0,0.04188114551626321,0.0,0.04188114551626321
2019.0,month,,,,,,,,,,,2.0,0.06191333726433887,0.0,0.06191333726433887
2019.0,month,,,,,,,,,,,3.0,0.027267366810626463,0.0,0.027267366810626463
2019.0,month,,,,,,,,,,,4.0,0.05525187652392866,0.0,0.05525187652392866
2019.0,month,,,,,,,,,,,5.0,0.09289391065993083,0.006875085205464682,0.08601882545446615
2019.0,month,,,,,,,,,,,6.0,0.14444851710784237,0.1152532748671366,0.02919524224070577
2019.0,month,,,,,,,,,,,7.0,0.15456820029004448,0.2884986648930694,0.13393046460302493
2019.0,month,,,,,,,,,,,8.0,0.17549283653922773,0.4995133280221011,0.3240204914828734
2019.0,month,,,,,,,,,,,9.0,0.09467879966214603,0.08985964701222812,0.004819152649917904
2019.0,month,,,,,,,,,,,10.0,0.06449505171397155,0.0,0.06449505171397155
2019.0,month,,,,,,,,,,,11.0,0.043650098009530035,0.0,0.043650098009530035
2019.0,month,,,,,,,,,,,12.0,0.043458859902149836,0.0,0.043458859902149836
2020.0,year,0.06594009239917027,0.8674095811589982,12.0,7.0,7.0,0.0,0.4518885822697482,0.7508450515976792,1.8759572266298725,4.4494484763167375,,,,
2020.0,month,,,,,,,,,,,1.0,0.015272507761297,0.0,0.015272507761297
2020.0,month,,,,,,,,,,,2.0,0.0240082787167989,0.0,0.0240082787167989
2020.0,month,,,,,,,,,,,3.0,0.04973266643670231,0.0,0.04973266643670231
2020.0,month,,,,,,,,,,,4.0,0.048740945153501206,0.0,0.048740945153501206
2020.0,month,,,,,,,,,,,5.0,0.0923076923076923,0.026653823279896724,0.06565386902779557
2020.0,month,,,,,,,,,,,6.0,0.13726284925836493,0.08196036869988693,0.055302480558478
2020.0,month,,,,,,,,,,,7.0,0.1716022766471197,0.37078737302639475,0.19918509637927506
2020.0,month,,,,,,,,,,,8.0,0.14302345636426356,0.2980973098713975,0.15507385350713393
2020.0,month,,,,,,,,,,,9.0,0.14873232149016902,0.19011392599878174,0.041381604508612724
2020.0,month,,,,,,,,,,,10.0,0.08227837185236289,0.032387199123642414,0.04989117272872048
