year,simulation_id,facility_energy_mwh,it_energy_mwh,annual_pue,facility_peak_mw,facility_peak_to_mean,raw_evap_m3,arrival_cv,terminal_backlog_work_units,first_backlog_start_work_units,first_it_mw,last_it_mw,january_it_scale_jump_pct
2019,8,573000.0,537112.2129416217,1.0668161814117583,83.55022917661522,1.2773124041660546,12722.713589685256,0.18453399555159028,35.599888485102134,1.4490043072292487,53.738789098448024,63.605809927354144,-1.373512848821504
2020,8,686000.0,639343.6228633309,1.0729754320966185,100.02001133173624,1.280722710696751,26758.8597928564,0.18324503546280235,0.0,35.599888485102134,75.33003033568745,76.14480066733084,18.43262497832171
2021,8,898408.9999999999,842385.2730486662,1.0665060617080577,131.0192083604648,1.277511985340387,50591.07498793218,0.18519243619033215,0.0,0.0,90.79058407047447,75.1330524459496,19.23412140394144
2022,8,982177.0,923712.4702639629,1.0632929960546382,142.5134176925664,1.2710718526160576,51879.85821426391,0.1862626972574745,0.0,0.0,105.6958485944498,91.7941641943962,40.67823035738757
2023,8,1375321.0,1307744.106296428,1.051674401267196,201.2180311611298,1.2816425786936265,52765.66797208236,0.1820618341467035,0.0,0.0,141.57625354707127,157.08008779061714,54.23230309853853
2024,8,1728291.0,1627053.4144620255,1.0622214271751171,250.7274628592005,1.274316671067093,85154.99814457205,0.1853757782542637,0.0,0.0,194.14197249372705,194.41163832729958,23.594260242910128
2011,9,71000.00000000003,65950.18289544458,1.0765701758941484,10.329897879500953,1.2745057102032158,2028.6391678027378,0.17533712724925254,0.0,19.43018206068046,6.760843608215634,5.939868914981678,
2012,9,153000.00000000006,143272.76164246455,1.0678931448380238,22.10287502088074,1.2689650600223292,5252.811212498838,0.17591978422908242,0.5965511181272198,0.0,15.95657846653344,16.718382050886138,168.63519540452117
2013,9,224000.00000000006,212026.09213815897,1.0564737468916738,32.41234122685745,1.2675540586931748,9696.183053342163,0.17748655536361324,0.0,0.5965511181272198,24.116338740803897,21.657416240501675,44.25043444635026
2014,9,262000.00000000003,247391.80035267174,1.0590488432781662,38.00336774519746,1.2706469520913346,9990.386102018821,0.1772623909574456,24.193637314613987,0.0,26.590613714600327,27.41944014077822,22.778328768844766
2015,9,284000.0,267924.51190892863,1.0600000648560877,41.26505766410291,1.2728236096392307,12945.202693042367,0.173277019069205,20.1655641630687,24.193637314613987,31.704002002359022,33.262571015654935,15.626000529488552
2016,9,327000.00000000006,308631.9172506292,1.0595145275738114,47.10719973358216,1.2654117506415463,8903.190764891568,0.17651946632538978,0.0,20.1655641630687,37.235536259645215,34.1609901070192,11.944251820222844
