year_local,month_local,west_net_energy_for_load_mwh,west_net_generation_mwh,west_net_interchange_mwh,west_monthly_peak_mw,west_monthly_minimum_mw,respondent_legal_name,balancing_authority_area_name,company_identifier,filing_id,respondent_code,source_file,timezone,time_convention,provenance,provenance_class,eia_demand_reported_mwh,eia_demand_reported_usable_mwh,eia_demand_reported_usable_n,eia_demand_reported_usable_mean_mw,eia_demand_adjusted_mwh,eia_demand_adjusted_mean_mw,eia_net_generation_reported_mwh,eia_total_interchange_reported_mwh,eia_n_hours,expected_hours,overlap_status,ferc_nel_mean_mw,demand_bias_mwh,demand_pct_diff,demand_raw_reported_pct_diff,generation_bias_mwh,generation_pct_diff,interchange_bias_mwh,interchange_pct_diff,demand_adjusted_pct_diff,comparison_note
2012,9,1623914.0,1567774.0,56140.0,3020.0,1589.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2255.436111111111,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,10,1668466.0,1675820.0,-7354.0,2993.0,1588.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2242.5618279569894,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,11,1732531.0,1804369.0,-71838.0,3128.0,1609.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2406.2930555555554,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2012,12,1987542.0,1945472.0,42070.0,3436.0,1807.0,PacifiCorp - West,PacifiCorp - West,R714229,15603,229,PacificorpWest-229-2012Q4F714_15603.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2671.4274193548385,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2013,1,2128353.0,1796343.0,332010.0,3784.0,1968.0,PacifiCorp - West,PacifiCorp - West,R714229,15712,229,PacificorpWest-229-2013Q4F714_15712.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2860.689516129032,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2013,2,1726363.0,1746216.0,-19853.0,3342.0,1931.0,PacifiCorp - West,PacifiCorp - West,R714229,15712,229,PacificorpWest-229-2013Q4F714_15712.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,672,no_eia,2568.9925595238096,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2013,3,1714677.0,1604306.0,110371.0,3281.0,1486.0,PacifiCorp - West,PacifiCorp - West,R714229,15712,229,PacificorpWest-229-2013Q4F714_15712.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2304.673387096774,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2013,4,1557827.0,1529978.0,27849.0,2999.0,1503.0,PacifiCorp - West,PacifiCorp - West,R714229,15712,229,PacificorpWest-229-2013Q4F714_15712.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2163.648611111111,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2013,5,1619564.0,1516886.0,102678.0,2839.0,1507.0,PacifiCorp - West,PacifiCorp - West,R714229,15712,229,PacificorpWest-229-2013Q4F714_15712.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,744,no_eia,2176.8333333333335,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
2013,6,1639749.0,1482828.0,156921.0,3220.0,1579.0,PacifiCorp - West,PacifiCorp - West,R714229,15712,229,PacificorpWest-229-2013Q4F714_15712.html,America/Los_Angeles,FERC Form 714 Part II monthly accounting; PacifiCorp-West balancing authority; not EIA-930 hour-ending UTC,"reported FERC Form 714 PacifiCorp-West monthly NEL/generation/interchange/peak/minimum; regional BA evidence, not campus electricity",reported,,,,,,,,,,720,no_eia,2277.429166666667,,,,,,,,,"Primary comparison uses EIA demand_reported_mwh inside (0.0, 8000.0] MW (physically possible PACW). Adjusted/imputed EIA demand is sensitivity only and never replaces reported values. FERC NEL = reported net generation + net actual interchange. EIA demand is BA load; interchange sign conventions may differ."
